,Image ID,Length [nm],Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,50.2,0.912,36.69,19.55,261.0,1.21,0.0005049
1,0,41.4,0.91,,,,,
2,0,51.6,0.899,,,,,
3,0,44.2,0.898,,,,,
4,0,62.6,0.896,,,,,
5,0,44.3,0.894,,,,,
6,0,33.0,0.886,,,,,
7,0,45.7,0.885,,,,,
8,0,46.7,0.883,,,,,
9,0,39.7,0.882,,,,,
10,0,40.7,0.881,,,,,
11,0,31.3,0.879,,,,,
12,0,35.7,0.876,,,,,
13,0,54.3,0.869,,,,,
14,0,52.7,0.868,,,,,
15,0,38.3,0.868,,,,,
16,0,37.7,0.867,,,,,
17,0,57.1,0.867,,,,,
18,0,31.3,0.866,,,,,
19,0,21.3,0.864,,,,,
20,0,34.8,0.862,,,,,
21,0,33.8,0.861,,,,,
22,0,44.2,0.861,,,,,
23,0,51.7,0.858,,,,,
24,0,29.8,0.857,,,,,
25,0,24.8,0.856,,,,,
26,0,22.3,0.856,,,,,
27,0,55.2,0.853,,,,,
28,0,28.4,0.852,,,,,
29,0,39.7,0.851,,,,,
30,0,43.2,0.848,,,,,
31,0,27.9,0.847,,,,,
32,0,22.8,0.845,,,,,
33,0,44.6,0.844,,,,,
34,0,48.7,0.844,,,,,
35,0,38.8,0.842,,,,,
36,0,61.1,0.841,,,,,
37,0,59.6,0.84,,,,,
38,0,88.1,0.837,,,,,
39,0,40.7,0.836,,,,,
40,0,57.1,0.832,,,,,
41,0,51.1,0.831,,,,,
42,0,52.1,0.831,,,,,
43,0,7.8,0.829,,,,,
44,0,34.8,0.827,,,,,
45,0,68.8,0.826,,,,,
46,0,28.8,0.826,,,,,
47,0,102.4,0.826,,,,,
48,0,42.7,0.825,,,,,
49,0,40.2,0.823,,,,,
50,0,35.9,0.822,,,,,
51,0,38.2,0.821,,,,,
52,0,20.9,0.821,,,,,
53,0,34.7,0.816,,,,,
54,0,40.8,0.815,,,,,
55,0,21.3,0.813,,,,,
56,0,47.0,0.812,,,,,
57,0,29.8,0.812,,,,,
58,0,26.3,0.811,,,,,
59,0,33.8,0.807,,,,,
60,0,39.8,0.807,,,,,
61,0,48.2,0.803,,,,,
62,0,34.7,0.801,,,,,
63,0,63.6,0.8,,,,,
64,0,54.3,0.799,,,,,
65,0,51.6,0.797,,,,,
66,0,42.7,0.795,,,,,
67,0,45.6,0.791,,,,,
68,0,42.2,0.788,,,,,
69,0,71.0,0.786,,,,,
70,0,44.2,0.786,,,,,
71,0,53.1,0.784,,,,,
72,0,49.7,0.778,,,,,
73,0,27.8,0.772,,,,,
74,0,30.8,0.77,,,,,
75,0,19.9,0.77,,,,,
76,0,37.3,0.77,,,,,
77,0,55.5,0.767,,,,,
78,0,28.4,0.766,,,,,
79,0,17.3,0.765,,,,,
80,0,36.3,0.762,,,,,
81,0,27.4,0.762,,,,,
82,0,60.0,0.762,,,,,
83,0,17.8,0.76,,,,,
84,0,38.2,0.76,,,,,
85,0,84.4,0.759,,,,,
86,0,25.8,0.758,,,,,
87,0,22.9,0.752,,,,,
88,0,18.9,0.751,,,,,
89,0,29.8,0.747,,,,,
90,0,52.1,0.744,,,,,
91,0,18.8,0.741,,,,,
92,0,51.2,0.74,,,,,
93,0,72.5,0.739,,,,,
94,0,25.8,0.738,,,,,
95,0,26.3,0.737,,,,,
96,0,24.4,0.736,,,,,
97,0,18.3,0.731,,,,,
98,0,59.1,0.729,,,,,
99,0,46.2,0.727,,,,,
100,0,38.0,0.727,,,,,
101,0,46.7,0.726,,,,,
102,0,30.7,0.716,,,,,
103,0,16.4,0.716,,,,,
104,0,32.7,0.712,,,,,
105,0,64.6,0.71,,,,,
106,0,19.8,0.707,,,,,
107,0,20.5,0.704,,,,,
108,0,32.8,0.703,,,,,
109,0,27.3,0.702,,,,,
110,0,24.5,0.701,,,,,
111,0,20.4,0.7,,,,,
112,0,86.4,0.699,,,,,
113,0,43.7,0.698,,,,,
114,0,58.6,0.698,,,,,
115,0,44.3,0.697,,,,,
116,0,43.3,0.697,,,,,
117,0,33.3,0.695,,,,,
118,0,29.8,0.694,,,,,
119,0,17.4,0.694,,,,,
120,0,61.1,0.692,,,,,
121,0,30.8,0.689,,,,,
122,0,40.8,0.689,,,,,
123,0,16.9,0.689,,,,,
124,0,28.9,0.688,,,,,
125,0,21.9,0.682,,,,,
126,0,42.8,0.682,,,,,
127,0,17.4,0.681,,,,,
128,0,24.0,0.68,,,,,
129,0,20.0,0.679,,,,,
130,0,41.7,0.678,,,,,
131,0,48.7,0.676,,,,,
132,0,70.5,0.673,,,,,
133,0,23.9,0.673,,,,,
134,0,15.8,0.672,,,,,
135,0,58.3,0.672,,,,,
136,0,24.0,0.668,,,,,
137,0,29.9,0.668,,,,,
138,0,18.8,0.667,,,,,
139,0,30.9,0.667,,,,,
140,0,34.7,0.667,,,,,
141,0,43.7,0.662,,,,,
142,0,41.7,0.659,,,,,
143,0,39.8,0.657,,,,,
144,0,46.7,0.652,,,,,
145,0,25.4,0.65,,,,,
146,0,20.8,0.649,,,,,
147,0,44.2,0.647,,,,,
148,0,57.1,0.645,,,,,
149,0,30.4,0.645,,,,,
150,0,28.9,0.644,,,,,
151,0,51.2,0.643,,,,,
152,0,120.1,0.64,,,,,
153,0,47.7,0.638,,,,,
154,0,34.8,0.636,,,,,
155,0,26.0,0.626,,,,,
156,0,50.8,0.624,,,,,
157,0,86.9,0.622,,,,,
158,0,44.7,0.621,,,,,
159,0,39.7,0.62,,,,,
160,0,29.8,0.62,,,,,
161,0,132.6,0.62,,,,,
162,0,34.7,0.619,,,,,
163,0,17.3,0.619,,,,,
164,0,18.3,0.618,,,,,
165,0,17.3,0.617,,,,,
166,0,44.3,0.617,,,,,
167,0,15.4,0.613,,,,,
168,0,30.3,0.61,,,,,
169,0,13.1,0.61,,,,,
170,0,19.0,0.605,,,,,
171,0,18.4,0.603,,,,,
172,0,13.8,0.602,,,,,
173,0,35.8,0.599,,,,,
174,0,13.9,0.597,,,,,
