,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,2.6,6.6,1.0,7.7,3.58,432.0,0.17,0.0068956
1,0,3.9,7.9,0.999,,,,,0.0065508
2,0,8.3,5.9,0.999,,,,,0.0058613
3,0,7.2,9.5,0.999,,,,,0.0055165
4,0,14.7,8.9,0.999,,,,,0.0065508
5,0,4.2,9.1,0.999,,,,,0.0051717
6,0,13.0,6.9,0.999,,,,,0.00793
7,0,9.0,7.1,0.999,,,,,0.0086195
8,0,6.7,8.2,0.999,,,,,0.0058613
9,0,6.6,6.3,0.999,,,,,0.0058613
10,0,5.9,8.3,0.998,,,,,0.00793
11,0,6.4,8.0,0.998,,,,,0.0065508
12,0,6.0,9.4,0.998,,,,,0.0062061
13,0,3.5,7.7,0.998,,,,,0.0082747
14,0,6.3,8.2,0.998,,,,,0.0082747
15,0,4.9,6.0,0.997,,,,,0.0068956
16,0,9.1,6.9,0.997,,,,,0.0051717
17,0,6.9,7.7,0.997,,,,,0.0048269
18,0,4.7,7.8,0.994,,,,,0.0096539
19,0,1.4,7.6,0.958,,,,,0.0082747
20,1,14.5,8.2,0.999,,,,,0.0058613
21,1,6.9,7.5,0.999,,,,,0.0062061
22,1,11.6,,0.999,,,,,
23,1,9.0,,0.999,,,,,
24,1,16.7,,0.999,,,,,
25,1,7.6,,0.999,,,,,
26,1,5.9,,0.999,,,,,
27,1,6.2,,0.999,,,,,
28,1,8.1,,0.999,,,,,
29,1,6.4,,0.999,,,,,
30,1,6.1,,0.998,,,,,
31,1,7.7,,0.998,,,,,
32,1,7.1,,0.998,,,,,
33,1,6.0,,0.998,,,,,
34,1,7.8,,0.998,,,,,
35,1,7.3,,0.997,,,,,
36,1,2.2,,0.996,,,,,
37,1,6.3,,0.996,,,,,
38,1,7.3,,0.989,,,,,
39,2,15.6,,0.999,,,,,
40,2,4.6,,0.999,,,,,
41,2,5.9,,0.998,,,,,
42,2,3.4,,0.998,,,,,
43,2,3.8,,0.998,,,,,
44,2,6.2,,0.997,,,,,
45,2,5.0,,0.996,,,,,
46,2,7.2,,0.996,,,,,
47,2,5.8,,0.996,,,,,
