,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,41.8,34.7,1.0,31.69,20.23,1171.0,0.59,0.0010545
1,0,34.7,33.2,1.0,,,,,0.0012463
2,0,49.8,30.9,1.0,,,,,0.0011424
3,0,26.4,32.8,1.0,,,,,0.0011105
4,0,44.8,30.7,1.0,,,,,0.0011264
5,0,25.6,30.2,1.0,,,,,0.0011744
6,0,28.0,28.8,1.0,,,,,0.0012383
7,0,29.9,32.5,1.0,,,,,0.0012622
8,0,28.3,,1.0,,,,,
9,0,37.7,,1.0,,,,,
10,0,29.7,,1.0,,,,,
11,0,26.1,,1.0,,,,,
12,0,24.0,,0.999,,,,,
13,0,28.8,,0.999,,,,,
14,0,42.6,,0.999,,,,,
15,0,76.5,,0.999,,,,,
16,0,39.7,,0.999,,,,,
17,0,23.5,,0.999,,,,,
18,0,27.9,,0.999,,,,,
19,0,29.7,,0.999,,,,,
20,0,30.8,,0.999,,,,,
21,0,111.5,,0.999,,,,,
22,0,17.4,,0.999,,,,,
23,0,27.6,,0.999,,,,,
24,0,31.4,,0.999,,,,,
25,0,13.5,,0.999,,,,,
26,0,47.0,,0.999,,,,,
27,0,16.9,,0.999,,,,,
28,0,29.7,,0.999,,,,,
29,0,31.8,,0.999,,,,,
30,0,36.8,,0.999,,,,,
31,0,51.8,,0.998,,,,,
32,0,23.0,,0.998,,,,,
33,0,20.0,,0.998,,,,,
34,0,39.4,,0.998,,,,,
35,0,18.7,,0.998,,,,,
36,0,37.9,,0.998,,,,,
37,0,20.7,,0.998,,,,,
38,0,37.2,,0.998,,,,,
39,0,79.3,,0.997,,,,,
40,0,17.1,,0.997,,,,,
41,0,37.0,,0.997,,,,,
42,0,30.9,,0.997,,,,,
43,0,32.5,,0.997,,,,,
44,0,25.6,,0.997,,,,,
45,0,16.5,,0.997,,,,,
46,0,38.7,,0.997,,,,,
47,0,39.1,,0.997,,,,,
48,0,15.9,,0.996,,,,,
49,0,25.3,,0.996,,,,,
50,0,19.6,,0.995,,,,,
51,0,35.5,,0.995,,,,,
52,0,13.8,,0.994,,,,,
53,0,20.7,,0.994,,,,,
54,0,15.0,,0.994,,,,,
55,0,16.4,,0.994,,,,,
56,0,31.6,,0.994,,,,,
57,0,30.9,,0.993,,,,,
58,0,15.2,,0.993,,,,,
59,0,32.6,,0.993,,,,,
60,0,35.7,,0.993,,,,,
61,0,66.0,,0.992,,,,,
62,0,12.4,,0.992,,,,,
63,0,47.2,,0.992,,,,,
64,0,18.5,,0.992,,,,,
65,0,28.8,,0.991,,,,,
66,0,38.0,,0.991,,,,,
67,0,86.0,,0.99,,,,,
68,0,9.7,,0.99,,,,,
69,0,64.8,,0.99,,,,,
70,0,43.7,,0.989,,,,,
71,0,12.7,,0.988,,,,,
72,0,28.0,,0.988,,,,,
73,0,54.0,,0.987,,,,,
74,0,28.2,,0.987,,,,,
75,0,31.1,,0.987,,,,,
76,0,21.3,,0.987,,,,,
77,0,39.5,,0.987,,,,,
78,0,26.9,,0.986,,,,,
79,0,44.5,,0.985,,,,,
80,0,33.2,,0.985,,,,,
81,0,23.1,,0.985,,,,,
82,0,47.9,,0.984,,,,,
83,0,26.6,,0.984,,,,,
84,0,17.5,,0.983,,,,,
85,0,20.0,,0.983,,,,,
86,0,41.6,,0.982,,,,,
87,0,19.3,,0.982,,,,,
88,0,29.9,,0.981,,,,,
89,0,113.5,,0.98,,,,,
90,0,28.0,,0.979,,,,,
91,0,16.7,,0.979,,,,,
92,0,13.2,,0.978,,,,,
93,0,14.9,,0.976,,,,,
94,0,18.0,,0.975,,,,,
95,0,39.4,,0.975,,,,,
96,0,19.3,,0.975,,,,,
97,0,37.3,,0.974,,,,,
98,0,34.7,,0.974,,,,,
99,0,17.3,,0.974,,,,,
100,0,31.3,,0.973,,,,,
101,0,15.9,,0.972,,,,,
102,0,33.7,,0.972,,,,,
103,0,20.2,,0.97,,,,,
104,0,11.7,,0.97,,,,,
105,0,25.7,,0.97,,,,,
106,0,63.0,,0.97,,,,,
107,0,25.1,,0.968,,,,,
108,0,23.6,,0.968,,,,,
109,0,22.1,,0.966,,,,,
110,0,15.2,,0.964,,,,,
111,0,75.8,,0.959,,,,,
112,0,20.5,,0.958,,,,,
113,0,25.5,,0.958,,,,,
114,0,50.0,,0.952,,,,,
115,0,18.5,,0.952,,,,,
116,0,132.3,,0.951,,,,,
117,0,37.5,,0.946,,,,,
118,0,69.0,,0.944,,,,,
119,0,40.4,,0.943,,,,,
120,0,20.7,,0.943,,,,,
121,0,50.6,,0.938,,,,,
122,0,21.5,,0.936,,,,,
123,0,23.5,,0.933,,,,,
124,0,20.7,,0.932,,,,,
125,0,106.5,,0.924,,,,,
126,0,42.9,,0.923,,,,,
127,0,19.6,,0.92,,,,,
128,0,147.8,,0.909,,,,,
129,0,21.4,,0.908,,,,,
130,0,37.2,,0.903,,,,,
131,0,37.8,,0.902,,,,,
132,1,26.1,,1.0,,,,,
133,1,47.5,,1.0,,,,,
134,1,21.0,,1.0,,,,,
135,1,21.0,,1.0,,,,,
