,Image ID,Cross section [nm^2],Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,21.7,0.912,11.78,4.85,384.0,0.25,0.0017421
1,0,13.4,0.882,,,,,
2,0,9.9,0.88,,,,,
3,0,9.0,0.876,,,,,
4,0,10.2,0.875,,,,,
5,0,6.9,0.873,,,,,
6,0,10.0,0.872,,,,,
7,0,14.7,0.867,,,,,
8,0,19.7,0.861,,,,,
9,0,6.4,0.85,,,,,
10,0,8.5,0.839,,,,,
11,0,11.6,0.839,,,,,
12,0,9.2,0.836,,,,,
13,0,3.6,0.817,,,,,
14,0,6.3,0.8,,,,,
15,0,6.0,0.753,,,,,
16,0,12.9,0.75,,,,,
17,0,9.4,0.736,,,,,
18,0,7.7,0.721,,,,,
19,1,20.3,0.917,,,,,
20,1,11.2,0.891,,,,,
21,1,9.0,0.885,,,,,
22,1,16.6,0.884,,,,,
23,1,12.4,0.88,,,,,
24,1,10.5,0.877,,,,,
25,1,10.3,0.874,,,,,
26,1,9.0,0.87,,,,,
27,1,9.9,0.866,,,,,
28,1,9.7,0.865,,,,,
29,1,20.2,0.865,,,,,
30,1,9.2,0.864,,,,,
31,1,13.1,0.856,,,,,
32,1,13.5,0.846,,,,,
33,1,10.5,0.844,,,,,
34,1,6.0,0.838,,,,,
35,1,10.8,0.837,,,,,
36,1,6.2,0.833,,,,,
37,1,11.0,0.818,,,,,
38,1,10.8,0.811,,,,,
39,1,5.9,0.586,,,,,
40,1,7.5,0.454,,,,,
41,2,20.6,0.851,,,,,
42,2,13.2,0.842,,,,,
43,2,9.0,0.829,,,,,
44,2,8.4,0.823,,,,,
45,2,5.9,0.819,,,,,
46,2,8.9,0.813,,,,,
47,2,8.3,0.801,,,,,
48,2,7.1,0.798,,,,,
49,2,5.8,0.794,,,,,
50,2,7.4,0.79,,,,,
51,2,7.3,0.775,,,,,
52,2,9.5,0.766,,,,,
53,2,10.2,0.759,,,,,
54,2,5.3,0.698,,,,,
55,2,5.4,0.647,,,,,
56,2,5.2,0.596,,,,,
57,3,20.6,0.895,,,,,
58,3,14.4,0.876,,,,,
59,3,23.2,0.862,,,,,
60,3,13.4,0.862,,,,,
61,3,20.2,0.858,,,,,
62,3,11.8,0.851,,,,,
63,3,12.5,0.84,,,,,
64,3,12.7,0.829,,,,,
65,3,14.1,0.817,,,,,
66,3,12.7,0.805,,,,,
67,3,24.7,0.802,,,,,
68,3,11.2,0.787,,,,,
69,3,7.9,0.756,,,,,
70,3,7.3,0.745,,,,,
71,3,7.9,0.591,,,,,
72,3,13.2,0.572,,,,,
73,4,17.4,0.872,,,,,
74,4,12.0,0.871,,,,,
75,4,9.9,0.866,,,,,
76,4,14.2,0.866,,,,,
77,4,21.9,0.864,,,,,
78,4,22.4,0.862,,,,,
79,4,8.6,0.854,,,,,
80,4,13.3,0.835,,,,,
81,4,19.1,0.832,,,,,
82,4,10.6,0.815,,,,,
83,4,23.6,0.81,,,,,
84,4,6.4,0.803,,,,,
85,4,6.5,0.802,,,,,
86,4,11.8,0.788,,,,,
87,4,9.2,0.784,,,,,
88,4,19.8,0.774,,,,,
89,4,9.5,0.726,,,,,
90,4,10.8,0.715,,,,,
91,4,10.3,0.607,,,,,
92,4,9.8,0.564,,,,,
93,4,7.1,0.523,,,,,
94,5,15.9,0.909,,,,,
95,5,13.9,0.888,,,,,
96,5,10.2,0.888,,,,,
97,5,11.7,0.877,,,,,
98,5,10.0,0.873,,,,,
99,5,12.6,0.87,,,,,
100,5,14.5,0.863,,,,,
101,5,15.5,0.859,,,,,
102,5,10.5,0.851,,,,,
103,5,11.7,0.848,,,,,
104,5,8.7,0.843,,,,,
105,5,14.3,0.833,,,,,
106,5,11.9,0.832,,,,,
107,5,11.2,0.808,,,,,
108,5,21.6,0.807,,,,,
109,5,10.7,0.738,,,,,
110,5,22.4,0.731,,,,,
111,5,3.7,0.687,,,,,
112,5,5.4,0.347,,,,,
113,6,13.0,0.883,,,,,
114,6,8.3,0.874,,,,,
115,6,10.3,0.874,,,,,
116,6,11.7,0.868,,,,,
117,6,8.7,0.868,,,,,
118,6,19.2,0.864,,,,,
119,6,11.7,0.846,,,,,
120,6,13.4,0.842,,,,,
121,6,14.7,0.841,,,,,
122,6,14.3,0.839,,,,,
123,6,17.8,0.838,,,,,
124,6,16.5,0.833,,,,,
125,6,9.4,0.817,,,,,
126,6,22.2,0.806,,,,,
127,6,5.4,0.773,,,,,
128,6,9.5,0.764,,,,,
129,6,21.5,0.761,,,,,
130,6,8.2,0.751,,,,,
131,6,3.8,0.72,,,,,
132,6,7.1,0.7,,,,,
133,6,18.1,0.693,,,,,
134,6,9.7,0.604,,,,,
135,6,5.0,0.416,,,,,
136,6,8.6,0.346,,,,,
137,7,17.7,0.906,,,,,
138,7,15.0,0.896,,,,,
139,7,13.5,0.884,,,,,
140,7,19.5,0.882,,,,,
141,7,8.7,0.877,,,,,
142,7,16.3,0.877,,,,,
143,7,10.3,0.876,,,,,
144,7,11.2,0.871,,,,,
145,7,11.8,0.868,,,,,
146,7,6.0,0.864,,,,,
147,7,15.9,0.86,,,,,
148,7,10.0,0.851,,,,,
149,7,10.3,0.847,,,,,
150,7,16.2,0.836,,,,,
