,Image ID,Length [nm],Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,18.7,0.831,21.59,11.85,2515.0,0.24,0.0006279
1,0,26.9,0.798,,,,,
2,0,23.5,0.793,,,,,
3,0,33.0,0.789,,,,,
4,0,35.8,0.787,,,,,
5,0,21.4,0.777,,,,,
6,0,21.4,0.765,,,,,
7,0,10.4,0.765,,,,,
8,0,35.2,0.759,,,,,
9,0,26.9,0.758,,,,,
10,0,21.3,0.756,,,,,
11,0,18.7,0.755,,,,,
12,0,27.6,0.752,,,,,
13,0,18.7,0.749,,,,,
14,0,21.4,0.745,,,,,
15,0,26.9,0.741,,,,,
16,0,15.9,0.735,,,,,
17,0,27.8,0.733,,,,,
18,0,24.2,0.725,,,,,
19,0,23.5,0.724,,,,,
20,0,15.9,0.721,,,,,
21,0,31.8,0.718,,,,,
22,0,18.0,0.715,,,,,
23,0,26.9,0.704,,,,,
24,0,21.4,0.703,,,,,
25,0,18.0,0.699,,,,,
26,0,26.9,0.698,,,,,
27,0,29.7,0.694,,,,,
28,0,29.7,0.691,,,,,
29,0,26.9,0.685,,,,,
30,0,18.7,0.684,,,,,
31,0,18.7,0.681,,,,,
32,0,26.9,0.679,,,,,
33,0,24.2,0.678,,,,,
34,0,15.9,0.678,,,,,
35,0,22.7,0.676,,,,,
36,0,15.9,0.673,,,,,
37,0,21.4,0.664,,,,,
38,0,26.3,0.657,,,,,
39,0,13.1,0.653,,,,,
40,0,13.1,0.653,,,,,
41,0,21.4,0.652,,,,,
42,0,10.4,0.647,,,,,
43,0,18.7,0.647,,,,,
44,0,18.7,0.644,,,,,
45,0,15.9,0.641,,,,,
46,0,15.9,0.64,,,,,
47,0,22.8,0.639,,,,,
48,0,32.5,0.638,,,,,
49,0,26.9,0.631,,,,,
50,0,21.4,0.631,,,,,
51,0,21.4,0.63,,,,,
52,0,15.9,0.628,,,,,
53,0,15.9,0.627,,,,,
54,0,10.4,0.624,,,,,
55,0,18.7,0.621,,,,,
56,0,29.7,0.621,,,,,
57,0,21.4,0.614,,,,,
58,0,18.7,0.612,,,,,
59,0,18.0,0.612,,,,,
60,0,15.9,0.604,,,,,
61,0,32.5,0.603,,,,,
62,0,15.9,0.603,,,,,
63,0,26.9,0.601,,,,,
64,0,21.4,0.6,,,,,
65,0,18.7,0.595,,,,,
66,0,13.1,0.595,,,,,
67,0,13.1,0.591,,,,,
68,0,18.7,0.59,,,,,
69,0,13.1,0.589,,,,,
70,0,21.4,0.588,,,,,
71,0,13.1,0.585,,,,,
72,0,15.2,0.58,,,,,
73,0,13.1,0.58,,,,,
74,0,38.0,0.58,,,,,
75,0,15.9,0.578,,,,,
76,0,18.7,0.576,,,,,
77,0,21.4,0.575,,,,,
78,0,52.2,0.575,,,,,
79,0,21.4,0.573,,,,,
80,0,15.9,0.567,,,,,
81,0,18.7,0.566,,,,,
82,0,15.2,0.566,,,,,
83,0,21.4,0.561,,,,,
84,0,43.8,0.559,,,,,
85,0,18.7,0.557,,,,,
86,0,18.7,0.555,,,,,
87,0,127.8,0.55,,,,,
88,0,21.4,0.549,,,,,
89,0,52.8,0.549,,,,,
90,0,20.7,0.548,,,,,
91,0,24.2,0.548,,,,,
92,0,24.2,0.548,,,,,
93,0,85.9,0.542,,,,,
94,0,21.4,0.537,,,,,
95,0,32.9,0.535,,,,,
96,0,25.3,0.529,,,,,
97,0,26.9,0.529,,,,,
98,0,24.2,0.529,,,,,
99,0,24.2,0.529,,,,,
100,0,35.2,0.528,,,,,
101,0,18.7,0.525,,,,,
102,0,26.9,0.523,,,,,
103,0,24.2,0.522,,,,,
104,0,18.7,0.519,,,,,
105,0,21.4,0.518,,,,,
106,0,13.1,0.518,,,,,
107,0,15.9,0.517,,,,,
108,0,21.4,0.516,,,,,
109,0,12.4,0.515,,,,,
110,0,88.7,0.512,,,,,
111,0,21.4,0.512,,,,,
112,0,21.4,0.511,,,,,
113,0,20.7,0.511,,,,,
114,0,21.4,0.51,,,,,
115,0,15.9,0.509,,,,,
116,0,26.9,0.499,,,,,
117,0,21.4,0.499,,,,,
118,0,24.2,0.498,,,,,
119,0,18.7,0.497,,,,,
120,0,14.7,0.491,,,,,
121,0,21.4,0.49,,,,,
122,0,21.4,0.49,,,,,
123,0,12.4,0.487,,,,,
124,0,20.7,0.486,,,,,
125,0,33.0,0.484,,,,,
126,0,21.4,0.482,,,,,
127,0,15.9,0.482,,,,,
128,0,59.5,0.481,,,,,
129,0,13.1,0.481,,,,,
130,0,15.2,0.48,,,,,
131,0,13.1,0.475,,,,,
132,0,15.2,0.473,,,,,
133,0,21.4,0.471,,,,,
134,0,10.4,0.468,,,,,
135,0,71.9,0.464,,,,,
136,0,54.6,0.464,,,,,
137,0,18.7,0.463,,,,,
138,0,12.4,0.463,,,,,
139,0,15.9,0.461,,,,,
140,0,18.7,0.458,,,,,
141,0,21.4,0.458,,,,,
142,0,18.7,0.454,,,,,
143,0,21.4,0.451,,,,,
144,0,18.7,0.448,,,,,
145,0,15.9,0.439,,,,,
146,0,12.4,0.439,,,,,
147,0,18.7,0.437,,,,,
148,0,29.7,0.435,,,,,
149,0,10.4,0.434,,,,,
150,0,32.5,0.434,,,,,
151,0,13.1,0.434,,,,,
152,0,15.9,0.431,,,,,
153,0,7.6,0.43,,,,,
154,0,13.1,0.428,,,,,
155,0,8.3,0.425,,,,,
156,0,14.9,0.424,,,,,
157,0,7.6,0.42,,,,,
158,0,15.2,0.413,,,,,
159,0,35.2,0.409,,,,,
160,0,18.7,0.406,,,,,
161,0,21.4,0.404,,,,,
162,0,18.7,0.403,,,,,
163,0,20.7,0.398,,,,,
164,0,10.4,0.394,,,,,
165,0,57.9,0.394,,,,,
166,0,15.2,0.393,,,,,
167,0,18.7,0.391,,,,,
168,0,45.6,0.389,,,,,
169,0,32.5,0.389,,,,,
170,0,40.8,0.389,,,,,
171,0,15.2,0.388,,,,,
172,0,26.9,0.386,,,,,
173,0,15.9,0.386,,,,,
174,0,15.9,0.386,,,,,
175,0,13.1,0.385,,,,,
176,0,24.2,0.385,,,,,
177,0,18.7,0.385,,,,,
178,0,15.2,0.384,,,,,
179,0,15.9,0.384,,,,,
180,0,14.5,0.381,,,,,
181,0,15.9,0.38,,,,,
182,0,56.1,0.38,,,,,
183,0,21.4,0.377,,,,,
184,0,18.7,0.377,,,,,
185,0,36.6,0.375,,,,,
186,0,15.9,0.374,,,,,
187,0,26.9,0.374,,,,,
188,0,46.7,0.373,,,,,
189,0,7.6,0.373,,,,,
190,0,10.4,0.371,,,,,
191,0,12.4,0.37,,,,,
192,0,34.6,0.369,,,,,
193,0,13.1,0.367,,,,,
194,0,15.2,0.365,,,,,
195,0,21.4,0.363,,,,,
196,0,41.1,0.363,,,,,
197,0,13.1,0.359,,,,,
198,0,15.2,0.359,,,,,
199,0,10.4,0.356,,,,,
200,0,32.5,0.355,,,,,
201,0,43.5,0.351,,,,,
202,0,24.2,0.349,,,,,
203,0,13.1,0.349,,,,,
204,0,20.7,0.348,,,,,
205,0,15.9,0.348,,,,,
206,0,26.9,0.348,,,,,
207,0,21.4,0.346,,,,,
208,0,21.4,0.344,,,,,
209,0,21.4,0.342,,,,,
210,0,71.9,0.341,,,,,
211,0,40.8,0.34,,,,,
212,0,13.1,0.34,,,,,
213,0,119.6,0.339,,,,,
214,0,8.3,0.338,,,,,
215,0,26.9,0.337,,,,,
216,0,18.7,0.335,,,,,
217,0,21.4,0.335,,,,,
218,0,15.2,0.335,,,,,
219,0,29.9,0.334,,,,,
220,0,21.4,0.332,,,,,
221,0,9.7,0.332,,,,,
222,0,13.1,0.332,,,,,
223,0,36.6,0.332,,,,,
224,0,21.4,0.331,,,,,
225,0,15.9,0.33,,,,,
226,0,10.4,0.33,,,,,
227,0,20.7,0.33,,,,,
228,1,20.7,0.875,,,,,
229,1,47.0,0.867,,,,,
230,1,32.5,0.857,,,,,
231,1,18.0,0.855,,,,,
232,1,17.3,0.847,,,,,
233,1,29.0,0.839,,,,,
234,1,24.2,0.836,,,,,
235,1,26.3,0.836,,,,,
236,1,18.7,0.831,,,,,
237,1,18.7,0.828,,,,,
238,1,35.2,0.822,,,,,
239,1,31.4,0.809,,,,,
240,1,35.2,0.807,,,,,
