,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,4.3,6.9,0.785,6.96,3.83,463.0,0.18,0.0065508
1,0,6.4,7.2,0.772,,,,,0.0072404
2,0,9.2,6.0,0.764,,,,,0.0072404
3,0,6.0,8.9,0.812,,,,,0.0058613
4,0,6.5,7.6,0.703,,,,,0.0082747
5,0,4.3,8.1,0.749,,,,,0.0065508
6,0,5.9,6.5,0.802,,,,,0.0082747
7,0,4.4,6.3,0.82,,,,,0.0089643
8,0,6.2,8.5,0.798,,,,,0.0058613
9,0,13.1,6.2,0.746,,,,,0.0072404
10,0,5.7,5.9,0.793,,,,,0.0082747
11,0,2.0,6.3,0.688,,,,,0.0065508
12,0,10.7,8.2,0.78,,,,,0.0068956
13,0,8.5,7.2,0.787,,,,,0.0082747
14,0,6.4,8.7,0.835,,,,,0.0075852
15,0,8.0,5.5,0.754,,,,,0.0072404
16,0,16.4,6.4,0.752,,,,,0.0062061
17,0,4.9,6.0,0.822,,,,,0.0058613
18,0,1.8,5.5,0.593,,,,,0.0106882
19,1,13.1,8.0,0.754,,,,,0.00793
20,1,15.3,7.8,0.751,,,,,0.0055165
21,1,5.9,6.7,0.748,,,,,0.0065508
22,1,5.8,,0.674,,,,,
23,1,6.9,,0.805,,,,,
24,1,7.5,,0.698,,,,,
25,1,7.0,,0.827,,,,,
26,1,8.4,,0.755,,,,,
27,1,6.9,,0.823,,,,,
28,1,5.2,,0.733,,,,,
29,1,1.9,,0.612,,,,,
30,1,2.8,,0.759,,,,,
31,1,4.7,,0.658,,,,,
32,1,2.5,,0.717,,,,,
33,1,7.6,,0.787,,,,,
34,1,8.0,,0.823,,,,,
35,1,6.6,,0.819,,,,,
36,1,7.8,,0.776,,,,,
37,1,5.7,,0.827,,,,,
38,1,16.9,,0.77,,,,,
39,1,3.8,,0.687,,,,,
40,2,2.1,,0.676,,,,,
41,2,5.0,,0.617,,,,,
42,2,17.3,,0.803,,,,,
43,2,2.8,,0.715,,,,,
44,2,3.6,,0.68,,,,,
45,2,8.0,,0.724,,,,,
46,2,7.5,,0.654,,,,,
47,2,8.7,,0.725,,,,,
48,2,8.7,,0.773,,,,,
49,2,4.7,,0.789,,,,,
50,2,6.2,,0.7,,,,,
51,2,6.9,,0.703,,,,,
52,2,2.9,,0.716,,,,,
53,2,4.6,,0.751,,,,,
54,2,5.6,,0.756,,,,,
55,2,2.5,,0.629,,,,,
56,2,6.2,,0.653,,,,,
57,2,3.4,,0.745,,,,,
58,2,4.5,,0.73,,,,,
59,2,8.4,,0.755,,,,,
