,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,22.9,27.5,0.695,26.56,16.28,963.0,0.52,0.0010306
1,0,13.7,25.7,0.535,,,,,0.0009107
2,0,5.2,26.5,0.527,,,,,0.0010545
3,0,23.0,28.0,0.619,,,,,0.0009347
4,0,48.3,25.0,0.603,,,,,0.0009667
5,0,32.5,26.4,0.66,,,,,0.0011584
6,0,58.1,26.3,0.659,,,,,0.0008708
7,0,27.3,27.3,0.642,,,,,0.0007669
8,0,78.6,,0.58,,,,,
9,0,30.0,,0.611,,,,,
10,0,35.4,,0.655,,,,,
11,0,61.0,,0.638,,,,,
12,0,19.9,,0.652,,,,,
13,0,82.9,,0.652,,,,,
14,0,29.2,,0.555,,,,,
15,0,31.2,,0.654,,,,,
16,0,57.3,,0.614,,,,,
17,0,27.9,,0.596,,,,,
18,0,26.6,,0.59,,,,,
19,0,29.3,,0.624,,,,,
20,0,27.4,,0.686,,,,,
21,0,19.1,,0.608,,,,,
22,0,16.7,,0.592,,,,,
23,0,14.9,,0.569,,,,,
24,0,18.2,,0.549,,,,,
25,0,26.0,,0.708,,,,,
26,0,16.9,,0.596,,,,,
27,0,28.5,,0.691,,,,,
28,0,26.9,,0.541,,,,,
29,0,26.5,,0.664,,,,,
30,0,29.3,,0.701,,,,,
31,0,30.2,,0.623,,,,,
32,0,4.9,,0.539,,,,,
33,0,57.5,,0.573,,,,,
34,0,30.1,,0.714,,,,,
35,0,15.6,,0.537,,,,,
36,0,101.4,,0.588,,,,,
37,0,27.9,,0.692,,,,,
38,0,21.6,,0.553,,,,,
39,0,20.1,,0.631,,,,,
40,0,116.0,,0.61,,,,,
41,0,14.1,,0.534,,,,,
42,0,13.7,,0.558,,,,,
43,0,8.8,,0.526,,,,,
44,0,35.3,,0.621,,,,,
45,0,30.3,,0.545,,,,,
46,0,33.3,,0.603,,,,,
47,0,23.0,,0.614,,,,,
48,0,20.4,,0.656,,,,,
49,0,28.8,,0.677,,,,,
50,0,25.3,,0.647,,,,,
51,0,40.1,,0.647,,,,,
52,0,25.3,,0.726,,,,,
53,0,22.0,,0.662,,,,,
54,0,4.3,,0.508,,,,,
55,0,46.1,,0.589,,,,,
56,0,24.9,,0.693,,,,,
57,0,12.4,,0.581,,,,,
58,0,106.3,,0.649,,,,,
59,0,12.6,,0.626,,,,,
60,0,35.9,,0.644,,,,,
61,0,24.1,,0.579,,,,,
62,0,17.9,,0.617,,,,,
63,0,5.0,,0.511,,,,,
64,0,21.4,,0.571,,,,,
65,0,24.9,,0.666,,,,,
66,0,21.3,,0.598,,,,,
67,0,21.4,,0.602,,,,,
68,0,21.6,,0.536,,,,,
69,0,23.3,,0.691,,,,,
70,0,17.1,,0.539,,,,,
71,0,58.0,,0.632,,,,,
72,0,27.4,,0.655,,,,,
73,0,29.1,,0.689,,,,,
74,0,8.9,,0.523,,,,,
75,0,20.7,,0.587,,,,,
76,0,14.1,,0.573,,,,,
77,0,16.5,,0.563,,,,,
78,0,23.6,,0.597,,,,,
79,0,33.6,,0.674,,,,,
80,0,83.0,,0.584,,,,,
81,0,31.0,,0.626,,,,,
82,0,22.9,,0.676,,,,,
83,0,22.9,,0.608,,,,,
84,0,16.3,,0.56,,,,,
85,0,33.9,,0.564,,,,,
86,0,10.3,,0.547,,,,,
87,0,21.8,,0.739,,,,,
88,0,19.5,,0.645,,,,,
89,0,25.6,,0.675,,,,,
90,0,21.1,,0.649,,,,,
91,0,67.6,,0.673,,,,,
92,0,21.2,,0.529,,,,,
93,0,3.5,,0.512,,,,,
94,0,8.1,,0.535,,,,,
95,0,16.0,,0.551,,,,,
96,0,21.1,,0.532,,,,,
97,0,21.5,,0.619,,,,,
98,0,16.7,,0.546,,,,,
99,0,12.0,,0.541,,,,,
100,0,35.0,,0.73,,,,,
101,0,7.2,,0.524,,,,,
102,0,16.8,,0.604,,,,,
103,0,28.7,,0.625,,,,,
104,0,23.1,,0.631,,,,,
105,0,5.6,,0.532,,,,,
106,0,24.7,,0.605,,,,,
107,0,18.9,,0.613,,,,,
108,0,4.9,,0.533,,,,,
109,0,35.8,,0.688,,,,,
110,0,27.1,,0.684,,,,,
111,0,20.2,,0.584,,,,,
112,0,10.7,,0.511,,,,,
113,0,16.5,,0.541,,,,,
114,0,24.3,,0.619,,,,,
115,0,22.6,,0.603,,,,,
116,0,35.6,,0.655,,,,,
117,0,5.0,,0.508,,,,,
118,0,53.0,,0.603,,,,,
119,0,23.8,,0.678,,,,,
120,0,25.3,,0.652,,,,,
121,0,30.6,,0.698,,,,,
122,0,15.4,,0.574,,,,,
123,0,24.0,,0.652,,,,,
124,0,28.3,,0.689,,,,,
125,0,17.2,,0.711,,,,,
126,0,15.9,,0.681,,,,,
127,0,14.9,,0.656,,,,,
128,0,26.4,,0.663,,,,,
129,1,16.4,,0.741,,,,,
130,1,18.3,,0.65,,,,,
131,1,20.7,,0.661,,,,,
132,1,25.1,,0.687,,,,,
133,1,29.9,,0.595,,,,,
134,1,5.8,,0.531,,,,,
135,1,21.5,,0.569,,,,,
136,1,20.8,,0.58,,,,,
137,1,25.1,,0.658,,,,,
138,1,13.7,,0.545,,,,,
139,1,11.2,,0.527,,,,,
140,1,21.7,,0.596,,,,,
141,1,30.1,,0.572,,,,,
142,1,15.1,,0.539,,,,,
143,1,28.4,,0.571,,,,,
144,1,46.6,,0.639,,,,,
145,1,71.8,,0.598,,,,,
146,1,23.7,,0.645,,,,,
147,1,46.8,,0.592,,,,,
148,1,24.5,,0.604,,,,,
149,1,16.6,,0.589,,,,,
150,1,36.3,,0.595,,,,,
151,1,35.0,,0.741,,,,,
152,1,14.6,,0.545,,,,,
153,1,25.0,,0.57,,,,,
154,1,10.6,,0.516,,,,,
155,1,31.0,,0.671,,,,,
156,1,12.2,,0.556,,,,,
157,1,34.3,,0.577,,,,,
158,1,16.8,,0.581,,,,,
159,1,33.2,,0.714,,,,,
160,1,15.9,,0.59,,,,,
161,1,40.0,,0.603,,,,,
162,1,43.4,,0.557,,,,,
163,1,25.1,,0.683,,,,,
164,1,27.8,,0.628,,,,,
165,1,20.7,,0.641,,,,,
166,1,23.2,,0.664,,,,,
167,1,27.1,,0.727,,,,,
168,1,20.7,,0.732,,,,,
169,1,16.1,,0.636,,,,,
170,1,26.2,,0.676,,,,,
171,1,17.4,,0.548,,,,,
172,1,42.3,,0.702,,,,,
173,1,26.1,,0.678,,,,,
174,1,29.8,,0.56,,,,,
175,1,19.1,,0.661,,,,,
176,1,29.7,,0.592,,,,,
177,1,21.0,,0.669,,,,,
178,1,20.2,,0.619,,,,,
179,1,27.2,,0.566,,,,,
180,1,17.8,,0.698,,,,,
181,1,8.4,,0.517,,,,,
182,1,22.7,,0.658,,,,,
183,1,6.0,,0.531,,,,,
184,1,26.3,,0.563,,,,,
185,1,49.3,,0.77,,,,,
186,1,20.8,,0.536,,,,,
187,1,30.4,,0.623,,,,,
188,1,29.4,,0.718,,,,,
189,1,16.8,,0.578,,,,,
190,1,49.0,,0.685,,,,,
191,1,28.2,,0.726,,,,,
192,1,38.0,,0.602,,,,,
193,1,28.0,,0.594,,,,,
194,1,19.8,,0.594,,,,,
195,1,17.7,,0.63,,,,,
196,1,27.0,,0.604,,,,,
197,1,18.9,,0.558,,,,,
198,1,28.6,,0.669,,,,,
199,1,22.5,,0.691,,,,,
200,1,22.8,,0.593,,,,,
201,1,18.2,,0.528,,,,,
202,1,21.8,,0.712,,,,,
203,1,16.9,,0.651,,,,,
204,1,34.3,,0.718,,,,,
205,1,115.7,,0.661,,,,,
206,1,23.4,,0.628,,,,,
207,1,65.9,,0.695,,,,,
208,1,16.0,,0.551,,,,,
209,1,21.4,,0.561,,,,,
210,1,13.1,,0.542,,,,,
211,1,36.7,,0.739,,,,,
212,1,20.3,,0.592,,,,,
213,1,22.4,,0.602,,,,,
214,1,6.7,,0.512,,,,,
215,1,22.2,,0.597,,,,,
216,1,18.8,,0.698,,,,,
217,1,20.9,,0.652,,,,,
218,1,69.9,,0.7,,,,,
219,1,35.7,,0.679,,,,,
220,1,21.6,,0.68,,,,,
221,1,5.5,,0.525,,,,,
222,1,18.1,,0.625,,,,,
223,1,26.5,,0.585,,,,,
224,1,16.1,,0.608,,,,,
225,1,11.3,,0.532,,,,,
226,1,13.6,,0.53,,,,,
227,1,30.7,,0.612,,,,,
228,1,35.2,,0.609,,,,,
229,1,37.4,,0.59,,,,,
230,1,15.7,,0.647,,,,,
231,1,21.7,,0.58,,,,,
232,1,39.5,,0.662,,,,,
233,1,29.2,,0.65,,,,,
234,1,21.8,,0.647,,,,,
235,1,9.9,,0.563,,,,,
236,1,32.1,,0.618,,,,,
237,1,29.8,,0.656,,,,,
238,1,15.2,,0.537,,,,,
239,1,22.4,,0.714,,,,,
240,1,26.7,,0.599,,,,,
241,1,11.0,,0.61,,,,,
242,1,12.5,,0.578,,,,,
243,2,5.1,,0.54,,,,,
244,2,33.9,,0.576,,,,,
245,2,23.8,,0.59,,,,,
246,2,30.2,,0.608,,,,,
247,2,17.8,,0.568,,,,,
248,2,30.4,,0.712,,,,,
249,2,28.1,,0.601,,,,,
250,2,16.4,,0.52,,,,,
251,2,16.8,,0.558,,,,,
252,2,27.4,,0.674,,,,,
253,2,61.2,,0.614,,,,,
254,2,24.7,,0.618,,,,,
255,2,19.4,,0.582,,,,,
256,2,22.8,,0.553,,,,,
257,2,19.2,,0.574,,,,,
258,2,10.8,,0.523,,,,,
259,2,16.8,,0.535,,,,,
260,2,27.4,,0.618,,,,,
261,2,44.8,,0.683,,,,,
262,2,30.0,,0.602,,,,,
263,2,6.2,,0.54,,,,,
264,2,33.1,,0.649,,,,,
265,2,13.9,,0.583,,,,,
266,2,14.4,,0.541,,,,,
267,2,6.5,,0.515,,,,,
268,2,19.1,,0.623,,,,,
269,2,22.5,,0.598,,,,,
