,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,5.8,5.4,0.852,6.04,2.29,639.0,0.09,0.0021549
1,0,4.6,5.3,0.841,,,,,0.0015515
2,0,6.0,5.6,0.839,,,,,0.0018101
3,0,6.2,5.9,0.828,,,,,0.0014653
4,0,5.8,6.4,0.816,,,,,0.0016377
5,0,5.8,5.8,0.815,,,,,0.0017239
6,0,7.2,5.7,0.815,,,,,0.0015515
7,0,6.3,5.0,0.809,,,,,0.0018101
8,0,7.0,6.0,0.803,,,,,0.0017239
9,0,3.0,7.2,0.802,,,,,0.0022411
10,0,6.9,6.1,0.797,,,,,0.0014653
11,0,6.5,6.4,0.791,,,,,0.0018101
12,0,4.9,5.5,0.788,,,,,0.0019825
13,0,7.4,4.9,0.785,,,,,0.0018963
14,0,3.8,9.8,0.785,,,,,0.0006034
15,0,5.0,7.3,0.772,,,,,0.0011205
16,0,4.5,7.2,0.765,,,,,0.0018963
17,0,7.4,7.3,0.765,,,,,0.0014653
18,0,4.9,7.3,0.744,,,,,0.0013791
19,0,3.8,5.6,0.744,,,,,0.0011205
20,0,7.1,5.7,0.723,,,,,0.0022411
21,0,3.2,7.5,0.702,,,,,0.0013791
22,0,5.0,5.2,0.696,,,,,0.0016377
23,0,3.6,6.0,0.67,,,,,0.0016377
24,0,3.3,5.4,0.658,,,,,0.0012067
25,1,4.5,6.1,0.822,,,,,0.0011205
26,1,5.5,5.2,0.815,,,,,0.0011205
27,1,5.3,5.9,0.814,,,,,0.0012929
28,1,4.3,5.8,0.805,,,,,0.0012929
29,1,5.2,6.1,0.805,,,,,0.0014653
30,1,5.3,5.4,0.804,,,,,0.0018963
31,1,5.0,5.4,0.802,,,,,0.0024135
32,1,4.6,5.7,0.801,,,,,0.0010343
33,1,5.3,7.1,0.79,,,,,0.0012929
34,1,4.7,6.4,0.79,,,,,0.0016377
35,1,4.6,,0.776,,,,,
36,1,9.3,,0.775,,,,,
37,1,2.2,,0.774,,,,,
38,1,5.0,,0.757,,,,,
39,1,4.4,,0.741,,,,,
40,1,7.2,,0.735,,,,,
41,1,3.3,,0.735,,,,,
42,1,9.7,,0.726,,,,,
43,2,10.6,,0.885,,,,,
44,2,4.0,,0.837,,,,,
45,2,4.3,,0.831,,,,,
46,2,8.0,,0.831,,,,,
47,2,5.4,,0.798,,,,,
48,2,6.9,,0.798,,,,,
49,2,5.2,,0.797,,,,,
50,2,6.4,,0.792,,,,,
51,2,7.2,,0.79,,,,,
52,2,3.1,,0.78,,,,,
53,2,8.5,,0.778,,,,,
54,2,5.8,,0.766,,,,,
55,2,4.9,,0.764,,,,,
56,2,4.2,,0.755,,,,,
57,2,5.7,,0.744,,,,,
58,2,1.5,,0.734,,,,,
59,2,6.0,,0.725,,,,,
60,2,4.9,,0.694,,,,,
61,2,5.9,,0.694,,,,,
62,2,3.0,,0.611,,,,,
63,2,5.5,,0.611,,,,,
64,3,9.3,,0.857,,,,,
65,3,7.8,,0.822,,,,,
66,3,6.5,,0.768,,,,,
67,3,5.3,,0.767,,,,,
68,3,9.0,,0.755,,,,,
69,3,3.7,,0.73,,,,,
70,3,4.2,,0.725,,,,,
71,3,3.3,,0.725,,,,,
72,3,7.0,,0.721,,,,,
73,3,2.3,,0.707,,,,,
74,3,9.4,,0.7,,,,,
75,3,3.7,,0.692,,,,,
76,3,6.2,,0.692,,,,,
77,3,7.8,,0.686,,,,,
