,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,14.0,14.0,0.466,13.46,6.29,170.0,0.48,0.00024
1,0,19.9,12.4,0.412,,,,,0.0002
2,0,16.2,11.0,0.381,,,,,4e-05
3,0,11.7,11.9,0.359,,,,,5.33e-05
4,0,11.4,14.8,0.313,,,,,0.00028
5,0,10.3,15.4,0.297,,,,,6.67e-05
6,0,13.0,14.4,0.294,,,,,0.00012
7,0,11.4,14.2,0.281,,,,,0.00044
8,0,24.2,12.0,0.237,,,,,0.00024
9,0,11.4,19.5,0.23,,,,,8e-05
10,0,11.4,11.8,0.218,,,,,0.0005066
11,0,13.0,,0.191,,,,,
12,0,8.2,,0.185,,,,,
13,0,9.2,,0.183,,,,,
14,0,14.0,,0.176,,,,,
15,0,13.5,,0.169,,,,,
16,0,26.9,,0.157,,,,,
17,0,13.0,,0.153,,,,,
18,1,9.2,,0.343,,,,,
19,1,11.9,,0.339,,,,,
20,1,10.3,,0.308,,,,,
21,1,11.4,,0.261,,,,,
22,1,11.4,,0.257,,,,,
23,1,13.5,,0.248,,,,,
24,1,15.1,,0.224,,,,,
25,1,8.2,,0.198,,,,,
26,1,11.9,,0.192,,,,,
27,1,15.8,,0.191,,,,,
28,1,21.0,,0.183,,,,,
29,1,11.9,,0.183,,,,,
30,1,12.4,,0.173,,,,,
31,1,12.4,,0.169,,,,,
32,1,9.8,,0.155,,,,,
33,2,13.0,,0.305,,,,,
34,2,12.4,,0.189,,,,,
35,2,7.6,,0.169,,,,,
36,3,16.5,,0.385,,,,,
37,3,11.4,,0.3,,,,,
38,3,12.4,,0.276,,,,,
39,3,7.1,,0.27,,,,,
40,4,15.1,,0.377,,,,,
41,4,10.8,,0.358,,,,,
42,4,65.4,,0.34,,,,,
43,4,14.0,,0.332,,,,,
44,4,13.5,,0.323,,,,,
45,4,14.6,,0.299,,,,,
46,4,14.6,,0.278,,,,,
47,4,16.7,,0.274,,,,,
48,4,13.0,,0.244,,,,,
49,4,10.8,,0.244,,,,,
50,4,15.6,,0.242,,,,,
51,4,13.5,,0.221,,,,,
52,4,14.0,,0.206,,,,,
53,4,7.6,,0.197,,,,,
54,4,11.4,,0.197,,,,,
55,4,10.8,,0.187,,,,,
56,4,9.2,,0.185,,,,,
57,4,11.4,,0.182,,,,,
58,4,8.7,,0.177,,,,,
59,4,10.3,,0.176,,,,,
60,4,9.2,,0.172,,,,,
61,5,8.2,,0.373,,,,,
62,5,11.4,,0.335,,,,,
63,5,14.6,,0.262,,,,,
64,5,29.0,,0.218,,,,,
65,5,14.0,,0.215,,,,,
66,6,22.4,,0.519,,,,,
67,6,12.9,,0.38,,,,,
68,6,12.4,,0.317,,,,,
69,6,9.8,,0.242,,,,,
70,6,13.5,,0.229,,,,,
71,6,17.8,,0.198,,,,,
72,6,10.8,,0.184,,,,,
73,6,11.4,,0.161,,,,,
74,6,18.9,,0.159,,,,,
75,7,10.8,,0.64,,,,,
76,7,11.9,,0.617,,,,,
77,7,13.0,,0.516,,,,,
78,7,10.8,,0.512,,,,,
79,7,43.5,,0.426,,,,,
80,7,9.0,,0.375,,,,,
81,7,16.7,,0.375,,,,,
82,7,18.3,,0.361,,,,,
83,7,14.0,,0.306,,,,,
84,7,9.8,,0.282,,,,,
85,7,17.3,,0.263,,,,,
86,7,13.5,,0.26,,,,,
87,7,11.9,,0.248,,,,,
88,7,12.4,,0.229,,,,,
89,7,10.8,,0.227,,,,,
90,7,13.0,,0.219,,,,,
91,7,12.4,,0.219,,,,,
92,7,37.2,,0.213,,,,,
93,7,18.3,,0.203,,,,,
94,7,12.4,,0.201,,,,,
95,7,11.9,,0.199,,,,,
96,7,10.8,,0.194,,,,,
97,7,8.7,,0.188,,,,,
98,7,11.9,,0.177,,,,,
99,7,11.9,,0.175,,,,,
100,7,13.0,,0.172,,,,,
101,7,11.9,,0.164,,,,,
102,7,14.6,,0.161,,,,,
103,7,9.8,,0.159,,,,,
104,7,14.0,,0.159,,,,,
105,7,8.7,,0.159,,,,,
106,7,13.5,,0.154,,,,,
107,7,10.8,,0.153,,,,,
108,8,11.9,,0.607,,,,,
109,8,17.8,,0.398,,,,,
110,8,8.7,,0.389,,,,,
111,8,14.0,,0.383,,,,,
112,8,9.2,,0.339,,,,,
113,8,13.0,,0.326,,,,,
114,8,8.2,,0.295,,,,,
115,8,13.0,,0.291,,,,,
116,8,9.8,,0.283,,,,,
117,8,9.8,,0.263,,,,,
118,8,7.6,,0.258,,,,,
119,8,18.9,,0.244,,,,,
120,8,9.2,,0.234,,,,,
121,8,13.0,,0.231,,,,,
122,8,11.4,,0.196,,,,,
123,8,10.3,,0.173,,,,,
124,8,10.3,,0.169,,,,,
125,8,19.3,,0.162,,,,,
126,9,15.6,,0.497,,,,,
127,9,26.3,,0.361,,,,,
128,9,18.9,,0.328,,,,,
129,9,20.5,,0.295,,,,,
130,9,20.5,,0.239,,,,,
131,9,15.1,,0.182,,,,,
132,10,9.8,,0.634,,,,,
133,10,15.1,,0.617,,,,,
134,10,10.8,,0.613,,,,,
135,10,9.8,,0.568,,,,,
136,10,8.7,,0.557,,,,,
137,10,15.1,,0.53,,,,,
138,10,10.8,,0.495,,,,,
139,10,12.4,,0.481,,,,,
140,10,13.5,,0.474,,,,,
141,10,9.8,,0.411,,,,,
142,10,13.5,,0.379,,,,,
143,10,14.2,,0.369,,,,,
144,10,9.8,,0.366,,,,,
145,10,19.5,,0.355,,,,,
146,10,9.2,,0.349,,,,,
147,10,9.2,,0.344,,,,,
148,10,13.0,,0.331,,,,,
149,10,12.4,,0.319,,,,,
150,10,7.6,,0.313,,,,,
151,10,7.6,,0.288,,,,,
152,10,13.0,,0.284,,,,,
153,10,19.4,,0.283,,,,,
154,10,10.3,,0.279,,,,,
155,10,10.3,,0.27,,,,,
156,10,10.8,,0.262,,,,,
157,10,8.2,,0.246,,,,,
158,10,12.4,,0.236,,,,,
159,10,7.1,,0.223,,,,,
160,10,19.4,,0.221,,,,,
161,10,10.8,,0.216,,,,,
162,10,11.0,,0.214,,,,,
163,10,8.2,,0.21,,,,,
164,10,11.8,,0.201,,,,,
165,10,13.5,,0.194,,,,,
166,10,8.2,,0.194,,,,,
167,10,19.7,,0.192,,,,,
168,10,9.7,,0.19,,,,,
169,10,14.7,,0.189,,,,,
