,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,14.3,6.8,0.886,7.96,3.51,372.0,0.18,0.0014653
1,0,6.0,7.4,0.88,,,,,0.0016377
2,0,5.3,7.1,0.875,,,,,0.0011205
3,0,5.4,9.3,0.85,,,,,0.0012929
4,0,3.9,8.7,0.841,,,,,0.0014653
5,0,6.4,8.2,0.837,,,,,0.0013791
6,0,5.8,7.8,0.822,,,,,0.0015515
7,0,13.9,7.3,0.82,,,,,0.0017239
8,0,7.6,9.7,0.819,,,,,0.0012067
9,0,7.6,7.0,0.819,,,,,0.0010343
10,0,8.9,8.4,0.791,,,,,0.0019825
11,0,6.4,9.6,0.783,,,,,0.0011205
12,0,6.3,9.5,0.768,,,,,0.0013791
13,0,4.1,7.5,0.76,,,,,0.0018963
14,0,3.6,8.2,0.739,,,,,0.0018963
15,0,6.2,5.4,0.73,,,,,0.0015515
16,0,4.3,7.0,0.726,,,,,0.0012067
17,1,11.4,7.8,0.879,,,,,0.0011205
18,1,14.7,8.3,0.877,,,,,0.0020687
19,1,14.3,8.2,0.865,,,,,0.0016377
20,1,6.3,8.0,0.863,,,,,0.0012067
21,1,8.3,8.3,0.861,,,,,0.0011205
22,1,7.4,,0.856,,,,,
23,1,6.3,,0.853,,,,,
24,1,7.3,,0.85,,,,,
25,1,6.4,,0.849,,,,,
26,1,5.5,,0.848,,,,,
27,1,5.2,,0.847,,,,,
28,1,6.0,,0.843,,,,,
29,1,6.9,,0.834,,,,,
30,1,2.7,,0.813,,,,,
31,1,5.7,,0.809,,,,,
32,1,6.5,,0.79,,,,,
33,1,8.3,,0.778,,,,,
34,1,7.3,,0.748,,,,,
35,1,5.0,,0.737,,,,,
36,2,15.6,,0.862,,,,,
37,2,6.5,,0.838,,,,,
38,2,7.1,,0.82,,,,,
39,2,9.2,,0.813,,,,,
40,2,9.4,,0.811,,,,,
41,2,5.9,,0.807,,,,,
42,2,6.4,,0.805,,,,,
43,2,9.0,,0.78,,,,,
44,2,4.8,,0.772,,,,,
45,2,3.6,,0.751,,,,,
46,2,2.8,,0.741,,,,,
47,2,8.1,,0.718,,,,,
48,2,4.0,,0.686,,,,,
49,3,14.7,,0.887,,,,,
50,3,16.7,,0.866,,,,,
51,3,8.8,,0.866,,,,,
52,3,13.9,,0.865,,,,,
53,3,8.9,,0.847,,,,,
54,3,10.1,,0.841,,,,,
55,3,7.1,,0.838,,,,,
56,3,7.2,,0.829,,,,,
57,3,8.3,,0.828,,,,,
58,3,7.4,,0.824,,,,,
59,3,9.1,,0.815,,,,,
60,3,7.0,,0.811,,,,,
61,3,10.5,,0.8,,,,,
62,3,6.0,,0.702,,,,,
63,3,4.5,,0.61,,,,,
64,4,14.7,,0.871,,,,,
65,4,13.4,,0.865,,,,,
66,4,9.2,,0.863,,,,,
67,4,14.8,,0.861,,,,,
68,4,5.8,,0.858,,,,,
69,4,8.4,,0.858,,,,,
70,4,13.3,,0.854,,,,,
71,4,16.3,,0.837,,,,,
72,4,5.2,,0.829,,,,,
73,4,3.3,,0.827,,,,,
74,4,7.5,,0.826,,,,,
75,4,8.0,,0.82,,,,,
76,4,7.3,,0.818,,,,,
77,4,3.7,,0.723,,,,,
78,4,4.9,,0.714,,,,,
79,4,3.1,,0.687,,,,,
80,4,9.4,,0.637,,,,,
81,5,10.5,,0.865,,,,,
82,5,11.2,,0.863,,,,,
83,5,6.0,,0.861,,,,,
84,5,7.0,,0.854,,,,,
85,5,9.1,,0.849,,,,,
86,5,5.6,,0.848,,,,,
87,5,6.9,,0.839,,,,,
88,5,8.8,,0.829,,,,,
89,5,6.1,,0.824,,,,,
90,5,16.0,,0.813,,,,,
91,5,5.2,,0.81,,,,,
92,5,7.0,,0.807,,,,,
93,5,7.5,,0.8,,,,,
94,5,7.2,,0.758,,,,,
95,5,5.9,,0.675,,,,,
96,5,10.3,,0.665,,,,,
97,6,6.1,,0.865,,,,,
98,6,6.6,,0.858,,,,,
99,6,8.5,,0.854,,,,,
100,6,5.6,,0.852,,,,,
101,6,9.8,,0.85,,,,,
102,6,9.0,,0.84,,,,,
103,6,9.1,,0.835,,,,,
104,6,8.4,,0.827,,,,,
105,6,5.3,,0.821,,,,,
106,6,9.2,,0.82,,,,,
107,6,16.1,,0.811,,,,,
108,6,12.3,,0.794,,,,,
109,6,6.0,,0.788,,,,,
110,6,2.8,,0.783,,,,,
111,6,4.2,,0.744,,,,,
112,6,10.9,,0.739,,,,,
113,6,4.5,,0.718,,,,,
114,6,5.9,,0.708,,,,,
115,7,9.4,,0.867,,,,,
116,7,13.7,,0.866,,,,,
117,7,11.5,,0.86,,,,,
118,7,4.3,,0.857,,,,,
119,7,10.3,,0.857,,,,,
120,7,6.9,,0.854,,,,,
121,7,7.3,,0.851,,,,,
122,7,9.0,,0.842,,,,,
123,7,10.7,,0.842,,,,,
124,7,4.8,,0.84,,,,,
125,7,7.7,,0.833,,,,,
126,7,6.5,,0.83,,,,,
127,7,3.1,,0.83,,,,,
128,7,6.3,,0.82,,,,,
129,7,6.2,,0.803,,,,,
130,7,6.0,,0.785,,,,,
131,7,4.1,,0.758,,,,,
132,7,6.0,,0.739,,,,,
133,7,4.7,,0.708,,,,,
134,7,7.4,,0.678,,,,,
135,8,17.9,,0.881,,,,,
136,8,9.3,,0.857,,,,,
137,8,4.8,,0.854,,,,,
138,8,10.2,,0.852,,,,,
139,8,8.8,,0.85,,,,,
140,8,7.5,,0.84,,,,,
141,8,16.2,,0.835,,,,,
142,8,4.3,,0.83,,,,,
143,8,3.5,,0.815,,,,,
144,8,6.8,,0.814,,,,,
145,8,23.6,,0.793,,,,,
146,8,10.7,,0.791,,,,,
147,8,9.0,,0.779,,,,,
148,8,3.6,,0.762,,,,,
149,9,11.2,,0.876,,,,,
150,9,11.7,,0.867,,,,,
151,9,5.4,,0.862,,,,,
152,9,7.3,,0.837,,,,,
153,9,6.1,,0.835,,,,,
154,9,9.3,,0.826,,,,,
155,9,3.9,,0.825,,,,,
156,9,5.4,,0.811,,,,,
157,9,8.5,,0.793,,,,,
158,9,5.0,,0.778,,,,,
159,9,6.1,,0.714,,,,,
160,9,3.7,,0.653,,,,,
161,10,6.1,,0.885,,,,,
162,10,10.4,,0.88,,,,,
163,10,15.7,,0.864,,,,,
164,10,9.6,,0.849,,,,,
165,10,4.6,,0.847,,,,,
166,10,9.5,,0.845,,,,,
167,10,19.3,,0.843,,,,,
168,10,6.9,,0.838,,,,,
169,10,7.5,,0.833,,,,,
170,10,8.4,,0.833,,,,,
171,10,9.5,,0.831,,,,,
172,10,6.1,,0.83,,,,,
173,10,6.6,,0.825,,,,,
174,10,12.6,,0.821,,,,,
175,10,8.7,,0.82,,,,,
176,10,7.6,,0.809,,,,,
177,10,6.4,,0.8,,,,,
178,10,5.0,,0.785,,,,,
179,10,11.1,,0.772,,,,,
180,10,8.1,,0.752,,,,,
181,10,6.9,,0.728,,,,,
182,10,4.4,,0.71,,,,,
183,10,3.0,,0.683,,,,,
184,11,14.2,,0.878,,,,,
185,11,10.4,,0.862,,,,,
186,11,12.9,,0.858,,,,,
187,11,9.9,,0.856,,,,,
188,11,11.0,,0.855,,,,,
189,11,8.1,,0.851,,,,,
190,11,10.5,,0.85,,,,,
191,11,6.5,,0.822,,,,,
192,11,7.2,,0.813,,,,,
193,11,11.4,,0.803,,,,,
194,11,5.8,,0.793,,,,,
195,11,8.9,,0.79,,,,,
196,11,7.8,,0.784,,,,,
197,12,14.6,,0.892,,,,,
198,12,14.1,,0.879,,,,,
199,12,10.7,,0.878,,,,,
200,12,13.7,,0.874,,,,,
201,12,9.4,,0.862,,,,,
202,12,17.1,,0.859,,,,,
203,12,11.8,,0.854,,,,,
204,12,10.9,,0.854,,,,,
205,12,11.2,,0.843,,,,,
206,12,5.1,,0.834,,,,,
207,12,7.5,,0.825,,,,,
208,12,6.4,,0.822,,,,,
209,12,3.2,,0.807,,,,,
210,12,6.0,,0.724,,,,,
211,12,6.6,,0.721,,,,,
212,12,3.7,,0.693,,,,,
213,13,13.7,,0.887,,,,,
214,13,13.9,,0.871,,,,,
215,13,7.0,,0.864,,,,,
216,13,14.0,,0.862,,,,,
217,13,7.2,,0.862,,,,,
218,13,7.6,,0.861,,,,,
219,13,4.9,,0.86,,,,,
220,13,9.8,,0.855,,,,,
221,13,12.1,,0.854,,,,,
222,13,4.3,,0.85,,,,,
223,13,6.7,,0.85,,,,,
224,13,5.9,,0.846,,,,,
225,13,6.1,,0.845,,,,,
226,13,6.7,,0.842,,,,,
227,13,6.9,,0.842,,,,,
228,13,5.4,,0.839,,,,,
229,13,3.5,,0.829,,,,,
230,13,5.7,,0.825,,,,,
231,13,7.5,,0.813,,,,,
232,13,3.1,,0.804,,,,,
233,13,3.4,,0.787,,,,,
234,13,9.9,,0.775,,,,,
235,14,11.5,,0.869,,,,,
236,14,4.3,,0.863,,,,,
237,14,8.0,,0.863,,,,,
238,14,16.3,,0.859,,,,,
239,14,9.7,,0.858,,,,,
240,14,9.5,,0.855,,,,,
241,14,10.9,,0.852,,,,,
242,14,13.3,,0.851,,,,,
243,14,10.5,,0.849,,,,,
244,14,11.9,,0.849,,,,,
245,14,4.8,,0.846,,,,,
246,14,13.8,,0.844,,,,,
247,14,4.7,,0.831,,,,,
248,14,5.8,,0.828,,,,,
249,14,5.8,,0.826,,,,,
250,14,6.6,,0.822,,,,,
251,14,5.9,,0.82,,,,,
252,14,3.2,,0.8,,,,,
253,14,2.3,,0.798,,,,,
254,14,6.7,,0.787,,,,,
255,14,7.1,,0.76,,,,,
256,14,7.3,,0.752,,,,,
257,15,14.0,,0.88,,,,,
258,15,8.3,,0.874,,,,,
259,15,6.9,,0.868,,,,,
260,15,5.2,,0.857,,,,,
261,15,6.4,,0.856,,,,,
262,15,4.0,,0.845,,,,,
263,15,4.8,,0.844,,,,,
264,15,3.9,,0.843,,,,,
265,15,6.5,,0.842,,,,,
266,15,6.8,,0.838,,,,,
267,15,4.0,,0.836,,,,,
268,15,2.2,,0.834,,,,,
269,15,3.8,,0.823,,,,,
270,15,2.8,,0.817,,,,,
271,15,7.3,,0.816,,,,,
272,15,3.6,,0.816,,,,,
273,15,2.8,,0.802,,,,,
274,15,4.2,,0.785,,,,,
275,16,10.5,,0.886,,,,,
276,16,12.2,,0.861,,,,,
277,16,4.9,,0.858,,,,,
278,16,7.6,,0.858,,,,,
279,16,5.6,,0.856,,,,,
280,16,4.1,,0.851,,,,,
281,16,7.2,,0.843,,,,,
282,16,6.4,,0.837,,,,,
283,16,8.8,,0.834,,,,,
284,16,6.7,,0.82,,,,,
285,16,3.6,,0.804,,,,,
286,16,7.7,,0.798,,,,,
287,16,7.9,,0.747,,,,,
288,16,4.6,,0.71,,,,,
289,17,10.1,,0.879,,,,,
290,17,8.9,,0.871,,,,,
291,17,5.2,,0.849,,,,,
292,17,6.8,,0.847,,,,,
293,17,11.9,,0.846,,,,,
294,17,6.9,,0.84,,,,,
295,17,5.9,,0.838,,,,,
296,17,7.9,,0.834,,,,,
297,17,5.8,,0.826,,,,,
298,17,4.5,,0.82,,,,,
299,17,4.9,,0.802,,,,,
300,17,16.2,,0.688,,,,,
301,17,6.5,,0.671,,,,,
302,18,10.8,,0.873,,,,,
303,18,5.1,,0.866,,,,,
304,18,10.6,,0.864,,,,,
305,18,13.0,,0.853,,,,,
306,18,12.9,,0.849,,,,,
307,18,9.9,,0.848,,,,,
308,18,7.7,,0.847,,,,,
309,18,15.9,,0.847,,,,,
310,18,6.3,,0.843,,,,,
311,18,9.1,,0.832,,,,,
312,18,4.4,,0.825,,,,,
313,18,7.9,,0.823,,,,,
314,18,7.4,,0.819,,,,,
315,18,8.0,,0.817,,,,,
316,18,10.1,,0.805,,,,,
317,18,6.4,,0.796,,,,,
318,18,5.9,,0.775,,,,,
319,18,5.8,,0.765,,,,,
320,18,10.3,,0.763,,,,,
321,18,4.9,,0.75,,,,,
322,18,3.7,,0.744,,,,,
323,18,8.6,,0.742,,,,,
324,18,5.6,,0.702,,,,,
325,18,8.6,,0.69,,,,,
326,19,19.1,,0.887,,,,,
327,19,17.9,,0.874,,,,,
328,19,8.8,,0.868,,,,,
329,19,8.9,,0.867,,,,,
330,19,8.1,,0.864,,,,,
331,19,7.0,,0.861,,,,,
332,19,6.8,,0.855,,,,,
333,19,6.6,,0.855,,,,,
334,19,6.3,,0.846,,,,,
335,19,9.6,,0.843,,,,,
336,19,10.0,,0.835,,,,,
337,19,4.9,,0.828,,,,,
338,19,5.8,,0.826,,,,,
339,19,6.4,,0.819,,,,,
340,19,8.9,,0.815,,,,,
341,19,5.0,,0.798,,,,,
342,19,7.1,,0.748,,,,,
343,19,5.1,,0.729,,,,,
344,19,3.9,,0.721,,,,,
345,20,19.8,,0.884,,,,,
346,20,6.6,,0.874,,,,,
347,20,6.1,,0.867,,,,,
348,20,10.7,,0.865,,,,,
349,20,9.7,,0.861,,,,,
350,20,7.9,,0.86,,,,,
351,20,4.8,,0.859,,,,,
352,20,9.0,,0.857,,,,,
353,20,6.2,,0.852,,,,,
354,20,8.6,,0.851,,,,,
