,Image ID,Cross section DF [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,137.6,247.60000610351562,0.671,211.6699981689453,103.83999633789062,6851.0,1.25,0.0016158
1,0,159.6,219.10000610351562,0.663,,,,,0.0016597
2,0,289.5,200.3000030517578,0.648,,,,,0.0018215
3,0,175.0,192.3000030517578,0.647,,,,,0.0016457
4,0,546.7,189.5,0.643,,,,,0.0015059
5,0,189.9,214.3000030517578,0.642,,,,,0.0016477
6,0,651.4,213.8000030517578,0.641,,,,,0.0019293
7,0,270.1,215.5,0.641,,,,,0.0018574
8,0,739.6,,0.641,,,,,
9,0,145.4,,0.638,,,,,
10,0,157.0,,0.638,,,,,
11,0,438.1,,0.637,,,,,
12,0,662.1,,0.636,,,,,
13,0,204.1,,0.636,,,,,
14,0,244.7,,0.635,,,,,
15,0,176.2,,0.634,,,,,
16,0,203.8,,0.633,,,,,
17,0,372.8,,0.633,,,,,
18,0,158.1,,0.632,,,,,
19,0,711.4,,0.63,,,,,
20,0,400.7,,0.628,,,,,
21,0,200.8,,0.627,,,,,
22,0,385.9,,0.627,,,,,
23,0,268.4,,0.626,,,,,
24,0,345.8,,0.624,,,,,
25,0,447.5,,0.623,,,,,
26,0,442.7,,0.623,,,,,
27,0,302.3,,0.623,,,,,
28,0,231.1,,0.622,,,,,
29,0,184.9,,0.622,,,,,
30,0,541.0,,0.622,,,,,
31,0,184.1,,0.622,,,,,
32,0,431.0,,0.621,,,,,
33,0,225.3,,0.621,,,,,
34,0,255.0,,0.621,,,,,
35,0,263.0,,0.62,,,,,
36,0,402.7,,0.619,,,,,
37,0,188.7,,0.619,,,,,
38,0,183.0,,0.619,,,,,
39,0,201.0,,0.619,,,,,
40,0,342.3,,0.619,,,,,
41,0,213.6,,0.618,,,,,
42,0,204.3,,0.618,,,,,
43,0,183.3,,0.618,,,,,
44,0,315.2,,0.617,,,,,
45,0,376.8,,0.617,,,,,
46,0,250.9,,0.617,,,,,
47,0,271.9,,0.617,,,,,
48,0,449.8,,0.617,,,,,
49,0,242.7,,0.616,,,,,
50,0,187.3,,0.616,,,,,
51,0,298.1,,0.616,,,,,
52,0,185.2,,0.615,,,,,
53,0,226.8,,0.615,,,,,
54,0,376.3,,0.615,,,,,
55,0,192.8,,0.615,,,,,
56,0,179.1,,0.614,,,,,
57,0,284.4,,0.614,,,,,
58,0,248.4,,0.613,,,,,
59,0,406.6,,0.613,,,,,
60,0,283.7,,0.613,,,,,
61,0,335.0,,0.612,,,,,
62,0,268.1,,0.612,,,,,
63,0,412.6,,0.612,,,,,
64,0,429.3,,0.611,,,,,
65,0,276.9,,0.611,,,,,
66,0,192.8,,0.611,,,,,
67,0,237.8,,0.61,,,,,
68,0,254.6,,0.61,,,,,
69,0,369.5,,0.61,,,,,
70,0,210.6,,0.61,,,,,
71,0,388.1,,0.61,,,,,
72,0,398.2,,0.61,,,,,
73,0,253.0,,0.609,,,,,
74,0,244.1,,0.609,,,,,
75,0,257.3,,0.609,,,,,
76,0,296.4,,0.609,,,,,
77,0,247.8,,0.608,,,,,
78,0,141.6,,0.608,,,,,
79,0,123.4,,0.608,,,,,
80,0,351.5,,0.608,,,,,
81,0,411.3,,0.608,,,,,
82,0,308.7,,0.608,,,,,
83,0,183.6,,0.607,,,,,
84,0,347.3,,0.607,,,,,
85,0,442.9,,0.607,,,,,
86,0,222.8,,0.607,,,,,
87,0,265.2,,0.606,,,,,
88,0,192.9,,0.606,,,,,
89,0,124.2,,0.606,,,,,
90,0,215.8,,0.606,,,,,
91,0,393.0,,0.606,,,,,
92,0,174.4,,0.606,,,,,
93,0,267.9,,0.606,,,,,
94,0,186.8,,0.605,,,,,
95,0,264.4,,0.605,,,,,
96,0,487.4,,0.605,,,,,
97,0,287.4,,0.605,,,,,
98,0,295.8,,0.605,,,,,
99,0,317.5,,0.605,,,,,
100,0,271.3,,0.604,,,,,
101,0,243.5,,0.604,,,,,
102,0,150.4,,0.604,,,,,
103,0,333.4,,0.604,,,,,
104,0,182.0,,0.604,,,,,
105,0,160.7,,0.604,,,,,
106,0,338.9,,0.603,,,,,
107,0,225.2,,0.603,,,,,
108,0,397.7,,0.603,,,,,
109,0,209.6,,0.603,,,,,
110,0,167.9,,0.603,,,,,
111,0,226.5,,0.603,,,,,
112,0,205.9,,0.602,,,,,
113,0,203.1,,0.602,,,,,
114,0,253.2,,0.602,,,,,
115,0,146.9,,0.602,,,,,
116,0,371.9,,0.602,,,,,
117,0,191.9,,0.601,,,,,
118,0,268.6,,0.601,,,,,
119,0,134.2,,0.601,,,,,
120,0,221.4,,0.601,,,,,
121,0,627.3,,0.601,,,,,
122,0,168.6,,0.601,,,,,
123,0,292.5,,0.6,,,,,
124,0,479.7,,0.6,,,,,
125,0,154.9,,0.6,,,,,
126,0,219.1,,0.6,,,,,
127,0,412.6,,0.6,,,,,
128,0,316.4,,0.599,,,,,
129,0,238.3,,0.599,,,,,
130,0,368.3,,0.599,,,,,
131,0,243.9,,0.599,,,,,
132,0,311.6,,0.599,,,,,
133,0,245.6,,0.599,,,,,
134,0,259.2,,0.599,,,,,
135,0,453.9,,0.599,,,,,
136,0,296.7,,0.599,,,,,
137,0,141.4,,0.598,,,,,
138,0,228.8,,0.598,,,,,
139,0,337.7,,0.598,,,,,
140,0,328.4,,0.598,,,,,
141,0,300.2,,0.598,,,,,
142,0,244.7,,0.597,,,,,
143,0,223.0,,0.597,,,,,
144,0,233.3,,0.597,,,,,
145,0,279.1,,0.596,,,,,
146,0,273.7,,0.596,,,,,
147,0,171.1,,0.596,,,,,
148,0,179.1,,0.596,,,,,
149,0,171.4,,0.595,,,,,
150,0,262.8,,0.595,,,,,
151,0,236.5,,0.595,,,,,
152,0,180.3,,0.595,,,,,
153,0,167.8,,0.595,,,,,
154,0,222.2,,0.595,,,,,
155,0,268.4,,0.595,,,,,
156,0,137.4,,0.594,,,,,
157,0,262.9,,0.594,,,,,
158,0,220.0,,0.594,,,,,
159,0,247.2,,0.593,,,,,
160,0,189.5,,0.593,,,,,
161,0,223.4,,0.593,,,,,
162,0,338.2,,0.593,,,,,
163,0,247.3,,0.593,,,,,
164,0,285.6,,0.593,,,,,
165,0,209.4,,0.592,,,,,
166,0,258.2,,0.592,,,,,
167,0,196.6,,0.592,,,,,
168,0,253.5,,0.592,,,,,
169,0,277.5,,0.592,,,,,
170,0,235.5,,0.591,,,,,
171,0,241.5,,0.591,,,,,
172,0,220.9,,0.591,,,,,
173,0,178.5,,0.591,,,,,
174,0,200.7,,0.591,,,,,
175,0,309.0,,0.591,,,,,
176,0,240.5,,0.591,,,,,
177,0,667.6,,0.591,,,,,
178,0,298.5,,0.591,,,,,
179,0,217.5,,0.591,,,,,
180,0,214.9,,0.591,,,,,
181,0,290.8,,0.591,,,,,
182,0,300.1,,0.591,,,,,
183,0,218.4,,0.591,,,,,
184,0,302.5,,0.59,,,,,
185,0,268.4,,0.59,,,,,
186,0,198.2,,0.59,,,,,
187,0,311.8,,0.59,,,,,
188,0,266.4,,0.59,,,,,
189,0,184.4,,0.59,,,,,
190,0,227.1,,0.59,,,,,
191,0,166.1,,0.59,,,,,
192,0,266.3,,0.589,,,,,
193,0,344.3,,0.589,,,,,
194,0,171.5,,0.589,,,,,
195,0,160.1,,0.589,,,,,
196,0,230.5,,0.589,,,,,
197,0,257.6,,0.589,,,,,
198,0,252.8,,0.589,,,,,
199,0,296.3,,0.589,,,,,
200,0,273.6,,0.588,,,,,
201,0,227.0,,0.588,,,,,
202,0,278.5,,0.588,,,,,
203,0,223.2,,0.588,,,,,
204,0,185.3,,0.588,,,,,
205,0,293.9,,0.588,,,,,
206,0,312.0,,0.588,,,,,
207,0,306.2,,0.588,,,,,
208,0,179.8,,0.588,,,,,
209,0,334.2,,0.587,,,,,
210,0,253.5,,0.587,,,,,
211,0,326.9,,0.587,,,,,
212,0,277.2,,0.587,,,,,
213,0,281.8,,0.587,,,,,
214,0,188.0,,0.587,,,,,
215,0,205.5,,0.587,,,,,
216,0,274.7,,0.587,,,,,
217,0,237.3,,0.587,,,,,
218,0,212.2,,0.586,,,,,
219,0,310.2,,0.586,,,,,
220,0,651.5,,0.586,,,,,
