,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,28.5,30.7,0.753,27.82,12.3,1481.0,0.32,0.0002976
1,0,30.6,28.2,0.748,,,,,0.0003695
2,0,33.9,28.3,0.741,,,,,0.0003355
3,0,28.6,27.6,0.738,,,,,0.0003475
4,0,23.7,27.5,0.729,,,,,0.0004134
5,0,39.3,26.7,0.711,,,,,0.0004134
6,0,30.1,26.5,0.689,,,,,0.0004094
7,0,16.2,27.9,0.664,,,,,0.0003715
8,0,28.8,,0.659,,,,,
9,0,28.8,,0.659,,,,,
10,0,27.3,,0.659,,,,,
11,0,23.1,,0.65,,,,,
12,0,30.1,,0.647,,,,,
13,0,14.9,,0.643,,,,,
14,0,36.7,,0.642,,,,,
15,0,44.0,,0.64,,,,,
16,0,35.8,,0.637,,,,,
17,0,25.9,,0.634,,,,,
18,0,22.5,,0.617,,,,,
19,0,34.1,,0.615,,,,,
20,0,30.1,,0.611,,,,,
21,0,30.1,,0.605,,,,,
22,0,32.8,,0.598,,,,,
23,0,27.3,,0.596,,,,,
24,0,23.1,,0.587,,,,,
25,0,37.9,,0.585,,,,,
26,0,28.7,,0.573,,,,,
27,0,35.6,,0.56,,,,,
28,0,19.0,,0.558,,,,,
29,0,56.1,,0.552,,,,,
30,0,41.0,,0.551,,,,,
31,0,21.8,,0.546,,,,,
32,0,36.8,,0.533,,,,,
33,0,23.5,,0.533,,,,,
34,0,28.7,,0.526,,,,,
35,0,21.8,,0.525,,,,,
36,0,24.5,,0.522,,,,,
37,0,21.8,,0.514,,,,,
38,0,24.4,,0.513,,,,,
39,0,21.8,,0.512,,,,,
40,0,43.8,,0.51,,,,,
41,0,19.0,,0.506,,,,,
42,0,20.4,,0.499,,,,,
43,0,23.1,,0.498,,,,,
44,0,103.4,,0.497,,,,,
45,0,23.1,,0.494,,,,,
46,0,30.8,,0.493,,,,,
47,0,29.1,,0.492,,,,,
48,0,25.9,,0.491,,,,,
49,0,17.6,,0.488,,,,,
50,0,16.2,,0.487,,,,,
51,0,23.1,,0.486,,,,,
52,0,23.1,,0.478,,,,,
53,0,24.2,,0.469,,,,,
54,0,35.1,,0.468,,,,,
55,0,17.6,,0.466,,,,,
56,0,20.4,,0.466,,,,,
57,0,30.3,,0.461,,,,,
58,0,60.0,,0.451,,,,,
59,0,23.1,,0.45,,,,,
60,0,17.6,,0.449,,,,,
61,0,18.4,,0.449,,,,,
62,0,37.9,,0.444,,,,,
63,0,19.0,,0.439,,,,,
64,0,66.9,,0.436,,,,,
65,0,27.3,,0.432,,,,,
66,0,23.1,,0.431,,,,,
67,0,35.5,,0.431,,,,,
68,0,23.5,,0.427,,,,,
69,0,25.9,,0.424,,,,,
70,0,17.6,,0.423,,,,,
71,0,23.1,,0.421,,,,,
72,0,23.1,,0.42,,,,,
73,0,16.2,,0.419,,,,,
74,0,23.1,,0.417,,,,,
75,0,19.0,,0.416,,,,,
76,0,27.1,,0.414,,,,,
77,0,23.1,,0.41,,,,,
78,0,37.0,,0.409,,,,,
79,0,19.0,,0.407,,,,,
80,0,60.6,,0.406,,,,,
81,0,92.2,,0.406,,,,,
82,0,53.4,,0.405,,,,,
83,0,19.0,,0.401,,,,,
84,0,19.0,,0.397,,,,,
85,0,25.9,,0.397,,,,,
86,0,24.5,,0.395,,,,,
87,0,52.0,,0.392,,,,,
88,0,21.9,,0.391,,,,,
89,0,44.1,,0.387,,,,,
90,0,25.9,,0.383,,,,,
91,0,55.9,,0.381,,,,,
92,0,20.4,,0.379,,,,,
93,0,46.2,,0.379,,,,,
94,0,20.4,,0.379,,,,,
95,0,16.2,,0.379,,,,,
96,0,78.3,,0.377,,,,,
97,0,22.3,,0.376,,,,,
98,0,17.6,,0.375,,,,,
99,0,24.5,,0.369,,,,,
100,0,25.9,,0.367,,,,,
101,0,16.2,,0.366,,,,,
102,0,23.1,,0.364,,,,,
103,0,55.4,,0.362,,,,,
104,0,25.9,,0.361,,,,,
105,0,17.6,,0.361,,,,,
106,0,37.0,,0.352,,,,,
107,0,19.3,,0.349,,,,,
108,0,55.4,,0.346,,,,,
109,0,31.1,,0.344,,,,,
110,0,81.1,,0.343,,,,,
111,0,24.5,,0.342,,,,,
112,0,91.7,,0.34,,,,,
113,0,20.4,,0.339,,,,,
114,0,23.1,,0.339,,,,,
115,0,16.2,,0.338,,,,,
116,0,17.6,,0.337,,,,,
117,0,19.0,,0.335,,,,,
118,0,28.7,,0.331,,,,,
119,0,17.6,,0.328,,,,,
120,0,17.6,,0.324,,,,,
121,0,42.2,,0.322,,,,,
122,0,35.6,,0.322,,,,,
123,0,24.5,,0.321,,,,,
124,0,67.1,,0.318,,,,,
125,0,20.4,,0.318,,,,,
126,0,16.2,,0.318,,,,,
127,0,28.7,,0.316,,,,,
128,0,19.0,,0.314,,,,,
129,0,17.6,,0.309,,,,,
130,0,37.0,,0.309,,,,,
131,0,19.0,,0.308,,,,,
132,0,20.4,,0.303,,,,,
133,0,16.2,,0.298,,,,,
134,0,112.9,,0.297,,,,,
135,0,35.5,,0.295,,,,,
136,0,50.9,,0.294,,,,,
137,0,23.1,,0.288,,,,,
138,0,27.3,,0.288,,,,,
139,0,13.5,,0.287,,,,,
140,0,17.6,,0.286,,,,,
141,0,21.8,,0.284,,,,,
142,0,30.1,,0.283,,,,,
143,0,19.0,,0.279,,,,,
144,0,20.4,,0.278,,,,,
145,0,36.0,,0.276,,,,,
146,0,32.7,,0.275,,,,,
147,0,38.2,,0.274,,,,,
148,0,20.4,,0.273,,,,,
149,1,48.9,,0.77,,,,,
150,1,27.3,,0.732,,,,,
151,1,24.1,,0.725,,,,,
152,1,21.8,,0.721,,,,,
153,1,26.2,,0.715,,,,,
154,1,41.3,,0.709,,,,,
155,1,33.8,,0.701,,,,,
156,1,24.5,,0.687,,,,,
157,1,33.6,,0.686,,,,,
158,1,20.4,,0.681,,,,,
159,1,29.5,,0.661,,,,,
160,1,27.6,,0.659,,,,,
161,1,21.8,,0.657,,,,,
162,1,35.2,,0.653,,,,,
163,1,32.7,,0.649,,,,,
164,1,35.6,,0.648,,,,,
165,1,40.9,,0.636,,,,,
166,1,23.1,,0.635,,,,,
167,1,29.7,,0.634,,,,,
168,1,42.5,,0.633,,,,,
169,1,20.4,,0.633,,,,,
170,1,26.6,,0.632,,,,,
171,1,25.9,,0.631,,,,,
172,1,23.2,,0.631,,,,,
173,1,29.3,,0.619,,,,,
174,1,39.0,,0.618,,,,,
175,1,28.7,,0.614,,,,,
176,1,20.4,,0.612,,,,,
177,1,29.8,,0.608,,,,,
178,1,23.7,,0.608,,,,,
179,1,32.7,,0.606,,,,,
180,1,29.6,,0.605,,,,,
181,1,25.6,,0.598,,,,,
182,1,37.0,,0.596,,,,,
183,1,31.4,,0.591,,,,,
184,1,27.3,,0.59,,,,,
185,1,25.3,,0.588,,,,,
186,1,31.0,,0.588,,,,,
187,1,23.1,,0.583,,,,,
188,1,27.3,,0.58,,,,,
189,1,21.1,,0.574,,,,,
190,1,23.1,,0.574,,,,,
191,1,17.6,,0.573,,,,,
192,1,25.9,,0.57,,,,,
193,1,26.6,,0.566,,,,,
194,1,20.4,,0.564,,,,,
195,1,34.2,,0.564,,,,,
196,1,19.0,,0.564,,,,,
197,1,37.9,,0.562,,,,,
198,1,29.1,,0.561,,,,,
199,1,35.1,,0.559,,,,,
200,1,16.2,,0.558,,,,,
201,1,36.7,,0.557,,,,,
202,1,19.0,,0.556,,,,,
203,1,19.0,,0.555,,,,,
204,1,39.5,,0.555,,,,,
205,1,16.2,,0.552,,,,,
206,1,32.8,,0.54,,,,,
207,1,21.8,,0.533,,,,,
208,1,27.3,,0.531,,,,,
209,1,20.4,,0.53,,,,,
210,1,28.7,,0.529,,,,,
211,1,35.3,,0.528,,,,,
212,1,39.8,,0.524,,,,,
213,1,32.3,,0.523,,,,,
214,1,31.4,,0.52,,,,,
215,1,21.1,,0.519,,,,,
216,1,17.6,,0.517,,,,,
217,1,31.6,,0.512,,,,,
218,1,19.0,,0.505,,,,,
219,1,34.2,,0.501,,,,,
220,1,24.5,,0.499,,,,,
221,1,34.2,,0.498,,,,,
222,1,21.8,,0.497,,,,,
223,1,23.1,,0.496,,,,,
224,1,23.5,,0.482,,,,,
225,1,17.6,,0.48,,,,,
226,1,21.8,,0.475,,,,,
227,1,27.3,,0.475,,,,,
228,1,28.7,,0.475,,,,,
229,1,38.4,,0.474,,,,,
230,1,16.2,,0.473,,,,,
231,1,25.9,,0.472,,,,,
232,1,48.0,,0.471,,,,,
233,1,24.5,,0.466,,,,,
234,1,27.3,,0.464,,,,,
235,1,20.4,,0.464,,,,,
236,1,19.7,,0.462,,,,,
237,1,17.6,,0.461,,,,,
238,1,33.6,,0.447,,,,,
239,1,20.9,,0.446,,,,,
240,1,21.8,,0.444,,,,,
241,1,23.1,,0.44,,,,,
242,1,25.9,,0.437,,,,,
243,1,25.2,,0.436,,,,,
244,1,63.0,,0.435,,,,,
245,1,25.9,,0.432,,,,,
246,1,26.0,,0.43,,,,,
247,1,19.0,,0.427,,,,,
248,1,24.5,,0.426,,,,,
249,1,38.9,,0.421,,,,,
250,1,27.3,,0.42,,,,,
251,1,20.4,,0.42,,,,,
252,1,23.1,,0.419,,,,,
253,1,16.2,,0.419,,,,,
254,1,27.3,,0.418,,,,,
255,1,27.3,,0.417,,,,,
256,1,21.8,,0.416,,,,,
257,1,16.2,,0.416,,,,,
258,1,41.1,,0.415,,,,,
259,1,19.0,,0.415,,,,,
260,1,37.7,,0.412,,,,,
261,1,21.8,,0.41,,,,,
262,1,26.3,,0.406,,,,,
263,1,20.4,,0.405,,,,,
264,1,17.6,,0.402,,,,,
265,1,21.8,,0.401,,,,,
266,1,19.0,,0.395,,,,,
267,1,25.9,,0.393,,,,,
268,1,19.7,,0.39,,,,,
269,1,24.0,,0.386,,,,,
270,1,21.8,,0.383,,,,,
271,1,31.2,,0.381,,,,,
272,1,17.6,,0.376,,,,,
273,1,26.2,,0.376,,,,,
274,1,27.3,,0.376,,,,,
275,1,20.4,,0.372,,,,,
276,1,27.3,,0.37,,,,,
277,1,33.9,,0.369,,,,,
278,1,38.1,,0.367,,,,,
279,1,20.4,,0.367,,,,,
280,1,23.1,,0.367,,,,,
281,1,103.0,,0.364,,,,,
282,1,19.0,,0.363,,,,,
283,1,21.4,,0.363,,,,,
284,1,61.5,,0.358,,,,,
285,1,61.5,,0.353,,,,,
286,1,17.6,,0.352,,,,,
287,1,46.3,,0.352,,,,,
288,1,27.3,,0.351,,,,,
289,1,17.6,,0.351,,,,,
290,1,17.6,,0.348,,,,,
291,1,23.1,,0.348,,,,,
292,1,16.2,,0.346,,,,,
293,1,59.1,,0.346,,,,,
294,1,24.5,,0.34,,,,,
295,1,24.5,,0.339,,,,,
296,1,28.9,,0.336,,,,,
297,1,36.9,,0.335,,,,,
298,1,20.4,,0.334,,,,,
299,1,17.6,,0.332,,,,,
300,1,23.1,,0.331,,,,,
301,1,31.2,,0.331,,,,,
302,1,27.0,,0.328,,,,,
303,1,19.0,,0.326,,,,,
304,1,14.9,,0.324,,,,,
305,1,28.7,,0.322,,,,,
306,1,39.7,,0.321,,,,,
307,1,78.0,,0.32,,,,,
308,1,16.2,,0.32,,,,,
309,1,25.9,,0.319,,,,,
310,1,42.2,,0.316,,,,,
311,1,20.4,,0.316,,,,,
312,1,40.4,,0.314,,,,,
313,1,20.4,,0.302,,,,,
314,1,19.0,,0.301,,,,,
315,1,67.2,,0.299,,,,,
316,1,31.4,,0.299,,,,,
317,1,21.8,,0.294,,,,,
318,1,24.5,,0.294,,,,,
319,1,17.6,,0.292,,,,,
320,1,51.6,,0.289,,,,,
321,1,26.2,,0.288,,,,,
322,1,19.0,,0.288,,,,,
323,1,17.6,,0.286,,,,,
324,1,47.6,,0.28,,,,,
325,1,28.9,,0.28,,,,,
326,1,23.1,,0.277,,,,,
