,Image ID,Cross section DF [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,1276.9,435.3999938964844,0.698,443.94000244140625,214.92999267578125,3877.0,3.45,0.0038626
1,0,635.4,440.79998779296875,0.681,,,,,0.0034601
2,0,975.2,435.3999938964844,0.68,,,,,0.0039654
3,0,702.1,425.20001220703125,0.679,,,,,0.0037598
4,0,1140.7,459.0,0.677,,,,,0.0033316
5,0,638.0,449.5,0.674,,,,,0.0034686
6,0,679.5,489.1000061035156,0.674,,,,,0.0040253
7,0,952.2,430.6000061035156,0.674,,,,,0.0037256
8,0,865.0,429.0,0.672,,,,,0.0036057
9,0,721.4,,0.671,,,,,
10,0,875.7,,0.67,,,,,
11,0,562.8,,0.669,,,,,
12,0,696.5,,0.668,,,,,
13,0,740.5,,0.668,,,,,
14,0,771.0,,0.665,,,,,
15,0,684.8,,0.664,,,,,
16,0,605.1,,0.663,,,,,
17,0,963.7,,0.661,,,,,
18,0,629.1,,0.659,,,,,
19,0,986.8,,0.659,,,,,
20,0,638.4,,0.658,,,,,
21,0,689.3,,0.657,,,,,
22,0,627.5,,0.657,,,,,
23,0,760.2,,0.656,,,,,
24,0,592.2,,0.655,,,,,
25,0,632.3,,0.655,,,,,
26,0,489.6,,0.654,,,,,
27,0,714.6,,0.654,,,,,
28,0,608.1,,0.653,,,,,
29,0,541.5,,0.652,,,,,
30,0,501.3,,0.652,,,,,
31,0,736.0,,0.651,,,,,
32,0,591.5,,0.651,,,,,
33,0,810.9,,0.651,,,,,
34,0,619.5,,0.651,,,,,
35,0,659.5,,0.651,,,,,
36,0,774.1,,0.65,,,,,
37,0,726.9,,0.649,,,,,
38,0,631.4,,0.649,,,,,
39,0,561.7,,0.649,,,,,
40,0,504.2,,0.649,,,,,
41,0,678.2,,0.649,,,,,
42,0,444.9,,0.648,,,,,
43,0,690.8,,0.648,,,,,
44,0,625.2,,0.648,,,,,
45,0,487.5,,0.647,,,,,
46,0,708.8,,0.647,,,,,
47,0,416.2,,0.646,,,,,
48,0,664.1,,0.646,,,,,
49,0,475.6,,0.646,,,,,
50,0,523.3,,0.645,,,,,
51,0,439.8,,0.643,,,,,
52,0,407.4,,0.643,,,,,
53,0,569.0,,0.642,,,,,
54,0,454.8,,0.642,,,,,
55,0,506.2,,0.641,,,,,
56,0,560.3,,0.641,,,,,
57,0,393.9,,0.64,,,,,
58,0,602.0,,0.64,,,,,
59,0,675.9,,0.64,,,,,
60,0,644.8,,0.64,,,,,
61,0,458.3,,0.64,,,,,
62,0,668.5,,0.639,,,,,
63,0,527.5,,0.639,,,,,
64,0,439.9,,0.639,,,,,
65,0,671.7,,0.639,,,,,
66,0,509.7,,0.639,,,,,
67,0,585.8,,0.638,,,,,
68,0,572.9,,0.638,,,,,
69,0,663.1,,0.638,,,,,
70,0,746.4,,0.638,,,,,
71,0,719.9,,0.637,,,,,
72,0,464.7,,0.637,,,,,
73,0,534.0,,0.636,,,,,
74,0,487.4,,0.636,,,,,
75,0,684.9,,0.635,,,,,
76,0,526.5,,0.635,,,,,
77,0,585.7,,0.634,,,,,
78,0,828.6,,0.633,,,,,
79,0,723.0,,0.633,,,,,
80,0,436.9,,0.633,,,,,
81,0,619.7,,0.633,,,,,
82,0,568.8,,0.632,,,,,
83,0,368.7,,0.632,,,,,
84,0,398.0,,0.632,,,,,
85,0,570.4,,0.632,,,,,
86,0,604.9,,0.632,,,,,
87,0,647.8,,0.631,,,,,
88,0,611.8,,0.631,,,,,
89,0,471.0,,0.631,,,,,
90,0,675.6,,0.631,,,,,
91,0,373.2,,0.63,,,,,
92,0,350.1,,0.63,,,,,
93,0,783.0,,0.63,,,,,
94,0,492.7,,0.63,,,,,
95,0,508.0,,0.629,,,,,
96,0,471.9,,0.629,,,,,
97,0,231.2,,0.628,,,,,
98,0,469.6,,0.628,,,,,
99,0,478.2,,0.627,,,,,
100,0,533.3,,0.627,,,,,
101,0,428.8,,0.627,,,,,
102,0,490.0,,0.627,,,,,
103,0,609.6,,0.627,,,,,
104,0,823.9,,0.627,,,,,
105,0,804.1,,0.626,,,,,
106,0,741.4,,0.626,,,,,
107,0,677.8,,0.626,,,,,
108,0,504.7,,0.626,,,,,
109,0,527.6,,0.625,,,,,
110,0,444.1,,0.625,,,,,
111,0,454.5,,0.625,,,,,
112,0,585.4,,0.624,,,,,
113,0,771.8,,0.623,,,,,
114,0,632.0,,0.623,,,,,
115,0,415.1,,0.622,,,,,
116,0,434.5,,0.622,,,,,
117,0,483.1,,0.622,,,,,
118,0,564.1,,0.621,,,,,
119,0,387.9,,0.621,,,,,
120,0,561.3,,0.62,,,,,
121,0,486.4,,0.62,,,,,
122,0,594.2,,0.619,,,,,
123,0,340.1,,0.618,,,,,
124,0,462.1,,0.618,,,,,
125,0,338.1,,0.617,,,,,
126,0,610.4,,0.617,,,,,
127,0,513.6,,0.617,,,,,
128,0,431.3,,0.617,,,,,
129,0,705.4,,0.617,,,,,
130,0,536.5,,0.616,,,,,
131,0,536.1,,0.616,,,,,
132,0,368.7,,0.616,,,,,
133,0,423.5,,0.616,,,,,
134,0,647.9,,0.615,,,,,
135,0,419.8,,0.615,,,,,
136,0,325.5,,0.615,,,,,
137,0,322.4,,0.614,,,,,
138,0,391.0,,0.614,,,,,
139,0,358.0,,0.614,,,,,
140,0,536.0,,0.614,,,,,
141,0,755.2,,0.614,,,,,
142,0,429.6,,0.614,,,,,
143,0,509.3,,0.614,,,,,
144,0,492.0,,0.614,,,,,
145,0,462.4,,0.613,,,,,
146,0,504.7,,0.613,,,,,
147,0,274.2,,0.613,,,,,
148,0,481.5,,0.613,,,,,
149,0,306.3,,0.612,,,,,
150,0,528.2,,0.611,,,,,
151,0,645.2,,0.611,,,,,
152,0,614.9,,0.611,,,,,
153,0,429.2,,0.61,,,,,
154,0,451.3,,0.609,,,,,
155,0,435.4,,0.608,,,,,
156,0,508.2,,0.607,,,,,
157,0,480.9,,0.607,,,,,
158,0,486.3,,0.606,,,,,
159,0,464.7,,0.605,,,,,
160,0,655.1,,0.604,,,,,
161,0,322.0,,0.604,,,,,
162,0,320.8,,0.603,,,,,
163,0,514.5,,0.603,,,,,
164,0,332.3,,0.603,,,,,
165,0,447.4,,0.602,,,,,
166,0,647.3,,0.602,,,,,
167,0,548.0,,0.602,,,,,
168,0,395.2,,0.601,,,,,
169,0,333.6,,0.601,,,,,
170,0,576.3,,0.601,,,,,
171,0,385.8,,0.6,,,,,
172,0,314.7,,0.6,,,,,
173,0,550.1,,0.6,,,,,
174,0,252.0,,0.599,,,,,
175,0,561.0,,0.599,,,,,
176,0,428.4,,0.598,,,,,
177,0,830.8,,0.598,,,,,
178,0,511.7,,0.598,,,,,
179,0,431.2,,0.598,,,,,
180,0,214.5,,0.598,,,,,
181,0,392.4,,0.596,,,,,
182,0,271.9,,0.596,,,,,
183,0,238.6,,0.596,,,,,
184,0,935.4,,0.595,,,,,
185,0,349.5,,0.595,,,,,
186,0,400.0,,0.595,,,,,
187,0,320.2,,0.595,,,,,
188,0,486.4,,0.595,,,,,
189,0,442.8,,0.593,,,,,
190,0,251.3,,0.592,,,,,
191,0,250.4,,0.59,,,,,
192,0,395.3,,0.59,,,,,
193,0,521.5,,0.59,,,,,
194,0,364.4,,0.59,,,,,
195,0,466.6,,0.589,,,,,
196,0,251.6,,0.589,,,,,
197,0,371.3,,0.589,,,,,
198,0,213.4,,0.589,,,,,
199,0,363.8,,0.588,,,,,
200,0,334.9,,0.588,,,,,
201,0,261.9,,0.588,,,,,
202,0,432.8,,0.588,,,,,
203,0,445.8,,0.588,,,,,
204,0,332.2,,0.588,,,,,
205,0,586.5,,0.588,,,,,
206,0,294.1,,0.587,,,,,
207,0,397.0,,0.586,,,,,
208,0,354.8,,0.585,,,,,
209,0,410.4,,0.585,,,,,
210,0,288.2,,0.584,,,,,
211,0,258.4,,0.584,,,,,
212,0,412.9,,0.583,,,,,
213,0,337.4,,0.583,,,,,
214,0,435.8,,0.583,,,,,
215,0,520.9,,0.582,,,,,
216,0,345.1,,0.582,,,,,
217,0,372.0,,0.582,,,,,
218,0,336.6,,0.581,,,,,
219,0,476.4,,0.581,,,,,
220,0,221.1,,0.581,,,,,
221,0,406.6,,0.58,,,,,
222,0,329.3,,0.58,,,,,
223,0,455.8,,0.58,,,,,
224,0,773.9,,0.579,,,,,
225,0,776.6,,0.579,,,,,
226,0,749.7,,0.579,,,,,
227,0,342.1,,0.578,,,,,
228,0,486.8,,0.578,,,,,
229,0,339.1,,0.578,,,,,
230,0,285.4,,0.577,,,,,
231,0,196.6,,0.577,,,,,
232,0,260.3,,0.576,,,,,
233,0,395.4,,0.576,,,,,
234,0,413.6,,0.576,,,,,
235,0,396.6,,0.576,,,,,
236,0,291.7,,0.576,,,,,
237,0,325.8,,0.576,,,,,
238,0,307.2,,0.575,,,,,
239,0,363.2,,0.575,,,,,
240,0,416.8,,0.574,,,,,
241,0,488.3,,0.573,,,,,
242,0,539.9,,0.573,,,,,
243,0,552.5,,0.573,,,,,
244,0,217.7,,0.573,,,,,
245,0,312.1,,0.573,,,,,
246,0,294.0,,0.573,,,,,
247,0,613.8,,0.572,,,,,
248,0,206.8,,0.572,,,,,
249,0,385.7,,0.572,,,,,
250,0,481.3,,0.571,,,,,
251,0,387.9,,0.571,,,,,
252,0,438.4,,0.571,,,,,
253,0,492.4,,0.57,,,,,
254,0,258.7,,0.569,,,,,
