,Image ID,Cross section DF [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,166.0,195.3000030517578,0.668,193.47999572753906,116.37000274658203,10194.0,1.15,0.0023208
1,0,173.5,201.39999389648438,0.666,,,,,0.0021989
2,0,170.9,171.60000610351562,0.664,,,,,0.0022209
3,0,144.8,194.60000610351562,0.664,,,,,0.0028221
4,0,141.9,178.8000030517578,0.655,,,,,0.0032115
5,0,135.7,216.8000030517578,0.653,,,,,0.0031117
6,0,169.3,204.89999389648438,0.648,,,,,0.0023607
7,0,175.0,180.10000610351562,0.647,,,,,0.0021131
8,0,153.3,,0.647,,,,,
9,0,148.7,,0.646,,,,,
10,0,141.6,,0.645,,,,,
11,0,169.2,,0.644,,,,,
12,0,153.0,,0.644,,,,,
13,0,126.7,,0.644,,,,,
14,0,156.8,,0.643,,,,,
15,0,270.4,,0.642,,,,,
16,0,171.6,,0.641,,,,,
17,0,328.5,,0.64,,,,,
18,0,276.3,,0.64,,,,,
19,0,214.9,,0.639,,,,,
20,0,126.1,,0.638,,,,,
21,0,158.7,,0.638,,,,,
22,0,180.4,,0.637,,,,,
23,0,139.7,,0.637,,,,,
24,0,137.5,,0.637,,,,,
25,0,405.1,,0.637,,,,,
26,0,138.9,,0.637,,,,,
27,0,177.7,,0.634,,,,,
28,0,386.2,,0.634,,,,,
29,0,169.5,,0.633,,,,,
30,0,200.5,,0.633,,,,,
31,0,167.7,,0.632,,,,,
32,0,159.2,,0.632,,,,,
33,0,197.7,,0.629,,,,,
34,0,201.6,,0.629,,,,,
35,0,175.4,,0.629,,,,,
36,0,134.0,,0.629,,,,,
37,0,166.2,,0.628,,,,,
38,0,126.8,,0.628,,,,,
39,0,402.6,,0.627,,,,,
40,0,183.6,,0.627,,,,,
41,0,159.1,,0.627,,,,,
42,0,206.8,,0.627,,,,,
43,0,136.5,,0.626,,,,,
44,0,215.5,,0.626,,,,,
45,0,153.4,,0.625,,,,,
46,0,177.0,,0.625,,,,,
47,0,273.4,,0.625,,,,,
48,0,147.1,,0.625,,,,,
49,0,193.9,,0.624,,,,,
50,0,421.2,,0.624,,,,,
51,0,353.3,,0.624,,,,,
52,0,250.2,,0.624,,,,,
53,0,309.0,,0.623,,,,,
54,0,202.0,,0.623,,,,,
55,0,132.1,,0.623,,,,,
56,0,185.2,,0.623,,,,,
57,0,184.6,,0.623,,,,,
58,0,339.6,,0.623,,,,,
59,0,310.2,,0.623,,,,,
60,0,287.3,,0.622,,,,,
61,0,429.8,,0.622,,,,,
62,0,112.6,,0.622,,,,,
63,0,180.5,,0.621,,,,,
64,0,324.7,,0.621,,,,,
65,0,191.8,,0.62,,,,,
66,0,204.1,,0.62,,,,,
67,0,162.1,,0.619,,,,,
68,0,138.5,,0.619,,,,,
69,0,101.3,,0.619,,,,,
70,0,224.9,,0.619,,,,,
71,0,214.5,,0.618,,,,,
72,0,429.1,,0.618,,,,,
73,0,195.9,,0.618,,,,,
74,0,112.3,,0.617,,,,,
75,0,488.4,,0.617,,,,,
76,0,173.9,,0.617,,,,,
77,0,190.1,,0.617,,,,,
78,0,133.8,,0.617,,,,,
79,0,146.1,,0.616,,,,,
80,0,143.0,,0.616,,,,,
81,0,351.8,,0.616,,,,,
82,0,111.4,,0.616,,,,,
83,0,113.9,,0.615,,,,,
84,0,149.9,,0.615,,,,,
85,0,264.3,,0.614,,,,,
86,0,210.4,,0.614,,,,,
87,0,338.5,,0.614,,,,,
88,0,160.3,,0.614,,,,,
89,0,160.9,,0.614,,,,,
90,0,318.6,,0.614,,,,,
91,0,390.2,,0.614,,,,,
92,0,194.6,,0.614,,,,,
93,0,430.4,,0.614,,,,,
94,0,164.4,,0.613,,,,,
95,0,226.3,,0.613,,,,,
96,0,220.5,,0.613,,,,,
97,0,190.0,,0.613,,,,,
98,0,147.6,,0.613,,,,,
99,0,341.6,,0.613,,,,,
100,0,199.5,,0.613,,,,,
101,0,102.3,,0.612,,,,,
102,0,329.7,,0.612,,,,,
103,0,253.2,,0.612,,,,,
104,0,188.5,,0.612,,,,,
105,0,219.1,,0.611,,,,,
106,0,248.9,,0.611,,,,,
107,0,184.9,,0.611,,,,,
108,0,234.7,,0.611,,,,,
109,0,156.4,,0.61,,,,,
110,0,174.1,,0.61,,,,,
111,0,305.8,,0.61,,,,,
112,0,217.9,,0.61,,,,,
113,0,148.2,,0.61,,,,,
114,0,193.2,,0.61,,,,,
115,0,271.5,,0.609,,,,,
116,0,152.3,,0.609,,,,,
117,0,194.3,,0.609,,,,,
118,0,214.3,,0.609,,,,,
119,0,402.1,,0.609,,,,,
120,0,221.8,,0.609,,,,,
121,0,212.9,,0.608,,,,,
122,0,273.2,,0.607,,,,,
123,0,201.0,,0.607,,,,,
124,0,302.4,,0.607,,,,,
125,0,267.7,,0.607,,,,,
126,0,269.1,,0.607,,,,,
127,0,153.1,,0.606,,,,,
128,0,323.7,,0.606,,,,,
129,0,321.9,,0.606,,,,,
130,0,100.2,,0.605,,,,,
131,0,146.2,,0.605,,,,,
132,0,271.6,,0.605,,,,,
133,0,224.8,,0.605,,,,,
134,0,207.9,,0.605,,,,,
135,0,145.3,,0.605,,,,,
136,0,226.4,,0.604,,,,,
137,0,298.6,,0.604,,,,,
138,0,145.9,,0.604,,,,,
139,0,180.7,,0.604,,,,,
140,0,153.3,,0.603,,,,,
141,0,156.8,,0.603,,,,,
142,0,173.6,,0.603,,,,,
143,0,144.1,,0.603,,,,,
144,0,228.1,,0.603,,,,,
145,0,165.0,,0.603,,,,,
146,0,244.9,,0.603,,,,,
147,0,124.2,,0.603,,,,,
148,0,328.1,,0.602,,,,,
149,0,288.6,,0.602,,,,,
150,0,184.9,,0.602,,,,,
151,0,197.8,,0.601,,,,,
152,0,153.0,,0.601,,,,,
153,0,143.3,,0.601,,,,,
154,0,174.6,,0.601,,,,,
155,0,187.3,,0.601,,,,,
156,0,144.4,,0.601,,,,,
157,0,126.6,,0.601,,,,,
158,0,305.9,,0.601,,,,,
159,0,388.4,,0.601,,,,,
160,0,125.3,,0.6,,,,,
161,0,271.1,,0.6,,,,,
162,0,233.6,,0.6,,,,,
163,0,245.3,,0.6,,,,,
164,0,143.3,,0.599,,,,,
165,0,175.8,,0.599,,,,,
166,0,302.2,,0.599,,,,,
167,0,149.0,,0.599,,,,,
168,0,251.6,,0.599,,,,,
169,0,181.0,,0.598,,,,,
170,0,246.6,,0.598,,,,,
171,0,215.1,,0.598,,,,,
172,0,204.9,,0.598,,,,,
173,0,215.3,,0.598,,,,,
174,0,401.2,,0.598,,,,,
175,0,282.3,,0.598,,,,,
176,0,271.0,,0.598,,,,,
177,0,233.3,,0.598,,,,,
178,0,203.1,,0.597,,,,,
179,0,244.6,,0.597,,,,,
180,0,236.9,,0.597,,,,,
181,0,179.4,,0.597,,,,,
182,0,218.1,,0.597,,,,,
183,0,182.7,,0.597,,,,,
184,0,152.8,,0.597,,,,,
185,0,211.1,,0.596,,,,,
186,0,193.1,,0.596,,,,,
187,0,195.8,,0.596,,,,,
188,0,169.9,,0.596,,,,,
189,0,268.0,,0.596,,,,,
190,0,285.5,,0.596,,,,,
191,0,219.1,,0.596,,,,,
192,0,198.9,,0.596,,,,,
193,0,257.8,,0.596,,,,,
194,0,261.1,,0.595,,,,,
195,0,287.9,,0.595,,,,,
196,0,220.8,,0.595,,,,,
197,0,291.8,,0.595,,,,,
