,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,21.5,16.7,0.814,18.05,10.13,758.0,0.37,0.0007023
1,0,16.5,17.2,0.806,,,,,0.0008479
2,0,20.6,15.2,0.806,,,,,0.0009164
3,0,34.2,16.8,0.805,,,,,0.0006252
4,0,16.4,17.7,0.793,,,,,0.0006852
5,0,13.1,19.4,0.784,,,,,0.0006338
6,0,24.2,21.0,0.767,,,,,0.0006766
7,0,15.3,19.7,0.749,,,,,0.0005824
8,0,30.5,23.4,0.748,,,,,0.000334
9,0,25.3,17.6,0.748,,,,,0.0004882
10,0,27.1,,0.724,,,,,
11,0,17.0,,0.708,,,,,
12,0,18.3,,0.708,,,,,
13,0,14.6,,0.704,,,,,
14,0,33.7,,0.702,,,,,
15,0,12.3,,0.691,,,,,
16,0,25.0,,0.675,,,,,
17,0,17.8,,0.673,,,,,
18,0,43.3,,0.672,,,,,
19,0,15.9,,0.671,,,,,
20,0,14.6,,0.664,,,,,
21,0,15.7,,0.663,,,,,
22,0,12.9,,0.656,,,,,
23,0,15.1,,0.656,,,,,
24,0,23.8,,0.647,,,,,
25,0,10.8,,0.64,,,,,
26,0,11.8,,0.636,,,,,
27,0,20.5,,0.614,,,,,
28,0,16.6,,0.61,,,,,
29,0,14.8,,0.608,,,,,
30,0,22.5,,0.599,,,,,
31,0,19.5,,0.591,,,,,
32,0,12.4,,0.588,,,,,
33,0,13.8,,0.588,,,,,
34,0,12.8,,0.583,,,,,
35,0,30.8,,0.58,,,,,
36,0,22.2,,0.563,,,,,
37,0,13.5,,0.563,,,,,
38,0,23.9,,0.56,,,,,
39,0,9.9,,0.555,,,,,
40,0,14.1,,0.553,,,,,
41,0,11.4,,0.547,,,,,
42,0,10.8,,0.541,,,,,
43,0,16.8,,0.535,,,,,
44,0,19.6,,0.535,,,,,
45,0,9.0,,0.525,,,,,
46,0,29.5,,0.521,,,,,
47,0,11.9,,0.514,,,,,
48,0,23.3,,0.508,,,,,
49,0,7.6,,0.501,,,,,
50,0,11.1,,0.495,,,,,
51,0,12.6,,0.493,,,,,
52,0,13.1,,0.491,,,,,
53,0,14.2,,0.484,,,,,
54,0,26.3,,0.483,,,,,
